1break;2breaks
1,45729;1,78717
0,52552;0,54477
0,80951;0,19873
1,32499;0,73598
0,40964;0,33727
0,81947;0,89991
0,93996;0,48024
0,41047;0,12904
1,89389;0,48823
0,92358;0,1547
0,33454;0,41218
0,19687;0,20907
-1,4871;0,87672
0,24199;0,17184
0,50463;0,19482
0,81096;0,93519
0,12444;0,40838
0,28572;0,94561
0,44501;0,4975
1,96456;1,22949
-1,34475;0,40207
-1,63513;0,32962
0,19228;0,71669
0,79337;0,14227
0,81231;0,10488
0,16669;0,52283
0,59831;0,27656
-1,22044;0,10225
0,36392;0,80541
0,4567;0,42985
0,17733;0,82579
0,23157;0,35805
0,24994;0,49999
-1,75475;0,79679
0,62996;0,38145
0,9519;0,73871
1,56226;1,38248
0,33711;0,28781
0,17724;0,89123
-1,36022;0,27627
1,51088;0,67118
0,58885;0,86035
-1,60695;-1,24485
1,14514;0,32251
1,38092;0,23274
0,12442;0,97167
0,41379;0,17604
-1,22278;0,34941
-1,18124;0,54495
0,54554;1,22973
0,5455;0,41538
-1,32965;0,24182
0,80515;0,44696
0,60909;0,28242
0,24633;0,30303
0,76858;0,69301
0,42399;0,45513
0,64263;0,94005
0,34096;0,66415
0,32215;0,47201
0,30902;0,5688
0,99909;0,32411
0,10379;0,71407
0,75822;0,94328
1,23667;0,32097
0,30553;0,33596
0,44713;0,32315
0,93744;-1,75302
0,59157;1,81381
0,62152;0,19912
0,54626;1,20908
-1,13823;0,39407
0,55898;0,24657
0,49971;0,8349
0,77646;0,89664
0,54278;0,71541
0,26233;1,4686
0,93102;0,45453
0,60241;1,11167
0,58258;0,75302
0,3103;0,42163
0,25485;0,40166
-1,22612;0,51118
0,35565;-1,75087
0,32452;0,20631
0,32487;0,9641
-1,21758;-1,57519
0,30987;0,63823
1,34176;0,54403
1,18136;-1,15691
1,43164;0,5717
0,23598;0,8054
0,99792;0,66057
0,74791;0,75392
0,63684;0,47376
0,67281;-1,21569
0,6269;-1,84073
0,1581;0,80348
1,72773;1,96823
0,36983;0,83334
0,57652;0,48636
-1,57134;0,45165
0,31718;0,88484
0,74112;-1,29349
1,8125;0,7284
0,458;-1,37779
0,13835;-1,17129
0,5689;0,19232
0,80357;-2,50686
-1,86324;-2,68605
1,22886;2,85835
2,50889;-1,58979
2,24152;1,10988
0,96185;0,19124
