<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.AAPL,D,20100104,000000,214.2200000
US1.AAPL,D,20100105,000000,214.4500000
US1.AAPL,D,20100106,000000,210.9500000
US1.AAPL,D,20100107,000000,210.5800000
US1.AAPL,D,20100108,000000,211.9900000
US1.AAPL,D,20100111,000000,210.1100000
US1.AAPL,D,20100112,000000,207.7200000
US1.AAPL,D,20100113,000000,210.6500000
US1.AAPL,D,20100114,000000,209.4000000
US1.AAPL,D,20100115,000000,205.9300000
US1.AAPL,D,20100119,000000,215.0400000
US1.AAPL,D,20100120,000000,211.6500000
US1.AAPL,D,20100121,000000,208.2400000
US1.AAPL,D,20100122,000000,197.7000000
US1.AAPL,D,20100125,000000,203.0750000
US1.AAPL,D,20100126,000000,205.7899000
US1.AAPL,D,20100127,000000,207.8600000
US1.AAPL,D,20100128,000000,199.3000000
US1.AAPL,D,20100129,000000,192.1200000
US1.AAPL,D,20100201,000000,194.6000000
US1.AAPL,D,20100202,000000,195.8200000
US1.AAPL,D,20100203,000000,199.2300000
US1.AAPL,D,20100204,000000,192.0100000
US1.AAPL,D,20100205,000000,195.5100000
US1.AAPL,D,20100208,000000,194.0600000
US1.AAPL,D,20100209,000000,196.1500000
US1.AAPL,D,20100210,000000,195.1160000
US1.AAPL,D,20100211,000000,198.7300000
US1.AAPL,D,20100212,000000,200.6200000
US1.AAPL,D,20100216,000000,203.4000000
US1.AAPL,D,20100217,000000,202.4500000
US1.AAPL,D,20100218,000000,202.9200000
US1.AAPL,D,20100219,000000,201.5600000
US1.AAPL,D,20100222,000000,200.3900000
US1.AAPL,D,20100223,000000,196.9800000
US1.AAPL,D,20100224,000000,200.5500000
US1.AAPL,D,20100225,000000,202.0000000
US1.AAPL,D,20100226,000000,204.6400000
US1.AAPL,D,20100301,000000,209.0300000
US1.AAPL,D,20100302,000000,208.8000000
US1.AAPL,D,20100303,000000,209.2700000
US1.AAPL,D,20100304,000000,210.7100000
US1.AAPL,D,20100305,000000,218.9000000
US1.AAPL,D,20100308,000000,218.9400000
US1.AAPL,D,20100309,000000,223.0200000
US1.AAPL,D,20100310,000000,224.8401000
US1.AAPL,D,20100311,000000,225.4100000
US1.AAPL,D,20100312,000000,226.6000000
US1.AAPL,D,20100315,000000,223.8800000
US1.AAPL,D,20100316,000000,224.4900000
US1.AAPL,D,20100317,000000,224.0700000
US1.AAPL,D,20100318,000000,224.7500000
US1.AAPL,D,20100319,000000,222.1400000
US1.AAPL,D,20100322,000000,224.8200000
US1.AAPL,D,20100323,000000,228.4000000
US1.AAPL,D,20100324,000000,229.3600000
US1.AAPL,D,20100325,000000,226.5000000
US1.AAPL,D,20100326,000000,230.9400000
US1.AAPL,D,20100329,000000,232.4100000
US1.AAPL,D,20100330,000000,235.8500000
US1.AAPL,D,20100331,000000,235.0000000
US1.AAPL,D,20100401,000000,235.8900000
US1.AAPL,D,20100405,000000,238.5000000
US1.AAPL,D,20100406,000000,239.6500000
US1.AAPL,D,20100407,000000,240.5195000
US1.AAPL,D,20100408,000000,239.9700000
US1.AAPL,D,20100409,000000,241.7900000
US1.AAPL,D,20100412,000000,242.2500000
US1.AAPL,D,20100413,000000,242.3400000
US1.AAPL,D,20100414,000000,245.6900000
US1.AAPL,D,20100415,000000,248.9500000
US1.AAPL,D,20100416,000000,247.5200000
US1.AAPL,D,20100419,000000,247.0000000
US1.AAPL,D,20100420,000000,244.6000000
US1.AAPL,D,20100421,000000,259.3900000
US1.AAPL,D,20100422,000000,266.4700000
US1.AAPL,D,20100423,000000,270.7100000
US1.AAPL,D,20100426,000000,269.2900000
US1.AAPL,D,20100427,000000,262.1400000
US1.AAPL,D,20100428,000000,261.6000000
US1.AAPL,D,20100429,000000,268.6000000
US1.AAPL,D,20100430,000000,261.0900000
US1.AAPL,D,20100503,000000,266.0800000
US1.AAPL,D,20100504,000000,258.4800000
US1.AAPL,D,20100505,000000,256.0000000
US1.AAPL,D,20100506,000000,246.7000000
US1.AAPL,D,20100507,000000,235.8600000
US1.AAPL,D,20100510,000000,253.9900000
US1.AAPL,D,20100511,000000,256.5200000
US1.AAPL,D,20100512,000000,262.0900000
US1.AAPL,D,20100513,000000,258.2500000
US1.AAPL,D,20100514,000000,253.8200000
US1.AAPL,D,20100517,000000,253.9500000
US1.AAPL,D,20100518,000000,252.3600000
US1.AAPL,D,20100519,000000,248.3400000
US1.AAPL,D,20100520,000000,237.5600000
US1.AAPL,D,20100521,000000,242.3200000
US1.AAPL,D,20100524,000000,246.7600000
US1.AAPL,D,20100525,000000,245.2200000
US1.AAPL,D,20100526,000000,244.1090000
US1.AAPL,D,20100527,000000,253.3500000
US1.AAPL,D,20100528,000000,256.8800000
US1.AAPL,D,20100601,000000,260.8000000
US1.AAPL,D,20100602,000000,263.9500000
US1.AAPL,D,20100603,000000,263.1200000
US1.AAPL,D,20100604,000000,255.9650000
US1.AAPL,D,20100607,000000,250.9400000
US1.AAPL,D,20100608,000000,249.3300000
US1.AAPL,D,20100609,000000,243.2000000
US1.AAPL,D,20100610,000000,250.6700000
US1.AAPL,D,20100611,000000,253.5100000
US1.AAPL,D,20100614,000000,254.2800000
US1.AAPL,D,20100615,000000,259.6900000
US1.AAPL,D,20100616,000000,267.2500000
US1.AAPL,D,20100617,000000,271.8700000
US1.AAPL,D,20100618,000000,274.0740000
US1.AAPL,D,20100621,000000,270.3500000
US1.AAPL,D,20100622,000000,273.8500000
