<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.AMZN,D,20190131,000000,1718.7800000
US1.AMZN,D,20190228,000000,1639.7432000
US1.AMZN,D,20190424,000000,1900.7500000
US1.AMZN,D,20190425,000000,1901.5100000
US1.AMZN,D,20190426,000000,1950.9800000
US1.AMZN,D,20190429,000000,1939.0000000
US1.AMZN,D,20190430,000000,1925.5600000
US1.AMZN,D,20190501,000000,1911.0650000
US1.AMZN,D,20190502,000000,1899.0950000
US1.AMZN,D,20190503,000000,1962.4900000
US1.AMZN,D,20190506,000000,1950.6400000
US1.AMZN,D,20190507,000000,1921.0000000
US1.AMZN,D,20190508,000000,1917.5800000
US1.AMZN,D,20190509,000000,1900.0300000
US1.AMZN,D,20190510,000000,1888.7600000
US1.AMZN,D,20190513,000000,1823.0600000
US1.AMZN,D,20190514,000000,1840.0500000
US1.AMZN,D,20190515,000000,1870.2100000
US1.AMZN,D,20190516,000000,1907.4200000
US1.AMZN,D,20190517,000000,1867.9900000
US1.AMZN,D,20190520,000000,1858.4900000
US1.AMZN,D,20190521,000000,1857.2000000
US1.AMZN,D,20190522,000000,1859.3000000
US1.AMZN,D,20190523,000000,1815.3100000
US1.AMZN,D,20190524,000000,1823.2200000
US1.AMZN,D,20190528,000000,1835.8400000
US1.AMZN,D,20190529,000000,1820.5000000
US1.AMZN,D,20190530,000000,1815.5200000
US1.AMZN,D,20190531,000000,1775.0200000
US1.AMZN,D,20190603,000000,1693.1400000
US1.AMZN,D,20190604,000000,1730.2450000
US1.AMZN,D,20190605,000000,1738.2700000
US1.AMZN,D,20190606,000000,1754.3900000
US1.AMZN,D,20190607,000000,1805.0400000
US1.AMZN,D,20190610,000000,1861.0100000
US1.AMZN,D,20190611,000000,1864.7600000
US1.AMZN,D,20190612,000000,1855.1700000
US1.AMZN,D,20190613,000000,1869.8300000
US1.AMZN,D,20190614,000000,1870.1400000
US1.AMZN,D,20190617,000000,1885.4400000
US1.AMZN,D,20190618,000000,1902.1500000
US1.AMZN,D,20190619,000000,1908.7600000
US1.AMZN,D,20190620,000000,1917.9500000
US1.AMZN,D,20190621,000000,1910.0800000
US1.AMZN,D,20190624,000000,1913.7950000
US1.AMZN,D,20190625,000000,1880.1900000
US1.AMZN,D,20190626,000000,1898.6500000
US1.AMZN,D,20190627,000000,1903.6700000
US1.AMZN,D,20190628,000000,1889.9000000
US1.AMZN,D,20190701,000000,1921.5000000
US1.AMZN,D,20190702,000000,1934.5600000
US1.AMZN,D,20190703,000000,1939.0000000
US1.AMZN,D,20190705,000000,1943.2600000
US1.AMZN,D,20190708,000000,1952.4200000
US1.AMZN,D,20190709,000000,1987.3500000
US1.AMZN,D,20190710,000000,2017.0800000
US1.AMZN,D,20190711,000000,2002.0900000
US1.AMZN,D,20190712,000000,2010.2700000
US1.AMZN,D,20190715,000000,2020.0300000
US1.AMZN,D,20190716,000000,2009.1200000
US1.AMZN,D,20190717,000000,1992.1800000
US1.AMZN,D,20190718,000000,1977.3500000
US1.AMZN,D,20190719,000000,1965.0000000
US1.AMZN,D,20190722,000000,1985.9300000
US1.AMZN,D,20190723,000000,1994.4800000
US1.AMZN,D,20190724,000000,2000.9400000
US1.AMZN,D,20190725,000000,1974.7200000
US1.AMZN,D,20190726,000000,1941.8700000
US1.AMZN,D,20190729,000000,1912.4300000
US1.AMZN,D,20190730,000000,1899.2200000
US1.AMZN,D,20190731,000000,1867.0200000
US1.AMZN,D,20190801,000000,1855.4800000
US1.AMZN,D,20190802,000000,1824.1900000
US1.AMZN,D,20190805,000000,1765.8200000
US1.AMZN,D,20190806,000000,1787.6000000
US1.AMZN,D,20190807,000000,1794.6300000
US1.AMZN,D,20190808,000000,1833.2900000
US1.AMZN,D,20190809,000000,1808.1300000
US1.AMZN,D,20190812,000000,1785.9400000
US1.AMZN,D,20190813,000000,1824.6600000
US1.AMZN,D,20190814,000000,1763.0300000
US1.AMZN,D,20190815,000000,1776.4600000
US1.AMZN,D,20190816,000000,1792.2100000
US1.AMZN,D,20190819,000000,1816.7400000
US1.AMZN,D,20190820,000000,1801.5900000
US1.AMZN,D,20190821,000000,1823.1900000
US1.AMZN,D,20190822,000000,1805.4100000
US1.AMZN,D,20190823,000000,1750.2000000
US1.AMZN,D,20190826,000000,1769.5800000
US1.AMZN,D,20190827,000000,1761.7100000
US1.AMZN,D,20190828,000000,1763.2000000
US1.AMZN,D,20190829,000000,1784.7900000
US1.AMZN,D,20190830,000000,1774.7300000
US1.AMZN,D,20190903,000000,1790.3400000
US1.AMZN,D,20190904,000000,1801.0000000
US1.AMZN,D,20190905,000000,1841.0000000
US1.AMZN,D,20190906,000000,1833.5800000
US1.AMZN,D,20190909,000000,1831.3400000
US1.AMZN,D,20190910,000000,1821.8200000
US1.AMZN,D,20190911,000000,1822.8900000
US1.AMZN,D,20190912,000000,1843.5500000
US1.AMZN,D,20190913,000000,1838.3700000
US1.AMZN,D,20190916,000000,1808.2100000
US1.AMZN,D,20190917,000000,1822.8400000
US1.AMZN,D,20190918,000000,1817.7200000
US1.AMZN,D,20190919,000000,1821.1900000
US1.AMZN,D,20190920,000000,1793.6400000
US1.AMZN,D,20190923,000000,1785.7600000
US1.AMZN,D,20190924,000000,1742.3500000
US1.AMZN,D,20190925,000000,1768.4900000
US1.AMZN,D,20190926,000000,1738.7900000
US1.AMZN,D,20190927,000000,1725.7100000
US1.AMZN,D,20190930,000000,1736.4300000
US1.AMZN,D,20191001,000000,1735.7100000
US1.AMZN,D,20191002,000000,1713.4000000
US1.AMZN,D,20191003,000000,1724.4900000
US1.AMZN,D,20191004,000000,1740.0600000
US1.AMZN,D,20191007,000000,1736.0800000
US1.AMZN,D,20191008,000000,1705.4000000
US1.AMZN,D,20191009,000000,1721.3100000
US1.AMZN,D,20191010,000000,1719.3600000
US1.AMZN,D,20191011,000000,1729.8700000
US1.AMZN,D,20191014,000000,1736.7300000
US1.AMZN,D,20191015,000000,1767.4500000
US1.AMZN,D,20191016,000000,1778.9100000
US1.AMZN,D,20191017,000000,1788.1100000
US1.AMZN,D,20191018,000000,1757.9200000
US1.AMZN,D,20191021,000000,1785.5900000
US1.AMZN,D,20191022,000000,1765.8300000
US1.AMZN,D,20191023,000000,1761.8100000
US1.AMZN,D,20191024,000000,1781.3000000
US1.AMZN,D,20191025,000000,1760.7200000
US1.AMZN,D,20191028,000000,1777.1300000
US1.AMZN,D,20191029,000000,1763.1000000
US1.AMZN,D,20191030,000000,1780.0600000
US1.AMZN,D,20191031,000000,1776.4000000
US1.AMZN,D,20191101,000000,1791.4600000
US1.AMZN,D,20191104,000000,1804.4600000
US1.AMZN,D,20191105,000000,1801.9300000
US1.AMZN,D,20191106,000000,1795.8100000
US1.AMZN,D,20191107,000000,1787.6100000
US1.AMZN,D,20191108,000000,1785.8900000
US1.AMZN,D,20191111,000000,1771.7400000
US1.AMZN,D,20191112,000000,1778.3300000
US1.AMZN,D,20191113,000000,1753.4700000
US1.AMZN,D,20191114,000000,1754.9400000
US1.AMZN,D,20191115,000000,1738.2100000
US1.AMZN,D,20191118,000000,1752.1100000
US1.AMZN,D,20191119,000000,1753.1800000
US1.AMZN,D,20191120,000000,1745.0000000
US1.AMZN,D,20191121,000000,1734.8200000
US1.AMZN,D,20191122,000000,1746.0500000
US1.AMZN,D,20191125,000000,1774.4400000
US1.AMZN,D,20191126,000000,1796.1600000
US1.AMZN,D,20191127,000000,1818.4000000
US1.AMZN,D,20191129,000000,1801.6200000
US1.AMZN,D,20191202,000000,1782.1700000
US1.AMZN,D,20191203,000000,1769.9300000
US1.AMZN,D,20191204,000000,1760.3200000
US1.AMZN,D,20191205,000000,1741.1600000
US1.AMZN,D,20191206,000000,1751.8700000
US1.AMZN,D,20191209,000000,1749.8800000
US1.AMZN,D,20191210,000000,1739.1400000
US1.AMZN,D,20191211,000000,1748.0700000
US1.AMZN,D,20191213,000000,1761.3900000
US1.AMZN,D,20191216,000000,1768.6200000
US1.AMZN,D,20191217,000000,1790.3800000
US1.AMZN,D,20191218,000000,1782.4900000
US1.AMZN,D,20191219,000000,1792.7000000
US1.AMZN,D,20191220,000000,1784.9600000
US1.AMZN,D,20191223,000000,1793.0000000
US1.AMZN,D,20191224,000000,1789.7100000
US1.AMZN,D,20191226,000000,1868.9300000
US1.AMZN,D,20191227,000000,1869.3900000
US1.AMZN,D,20191230,000000,1846.4300000
US1.AMZN,D,20191231,000000,1848.2000000
US1.AMZN,D,20200102,000000,1897.8600000
US1.AMZN,D,20200103,000000,1874.8900000
US1.AMZN,D,20200106,000000,1903.4900000
US1.AMZN,D,20200107,000000,1906.5000000
US1.AMZN,D,20200108,000000,1891.4900000
US1.AMZN,D,20200109,000000,1900.4400000
US1.AMZN,D,20200110,000000,1882.7300000
US1.AMZN,D,20200113,000000,1890.7900000
US1.AMZN,D,20200114,000000,1869.2000000
US1.AMZN,D,20200115,000000,1862.4500000
US1.AMZN,D,20200116,000000,1877.5400000
US1.AMZN,D,20200117,000000,1864.1800000
US1.AMZN,D,20200121,000000,1892.4500000
US1.AMZN,D,20200122,000000,1887.7300000
US1.AMZN,D,20200123,000000,1884.6200000
US1.AMZN,D,20200124,000000,1861.7500000
US1.AMZN,D,20200127,000000,1828.5200000
US1.AMZN,D,20200128,000000,1854.2600000
US1.AMZN,D,20200129,000000,1858.1100000
US1.AMZN,D,20200130,000000,1872.2000000
US1.AMZN,D,20200131,000000,2008.1200000
US1.AMZN,D,20200203,000000,2003.5400000
US1.AMZN,D,20200204,000000,2050.5000000
US1.AMZN,D,20200205,000000,2039.6200000
US1.AMZN,D,20200206,000000,2050.6700000
US1.AMZN,D,20200207,000000,2079.2100000
US1.AMZN,D,20200210,000000,2134.0500000
US1.AMZN,D,20200211,000000,2151.7300000
US1.AMZN,D,20200212,000000,2161.8900000
US1.AMZN,D,20200213,000000,2150.1300000
US1.AMZN,D,20200214,000000,2135.0800000
US1.AMZN,D,20200218,000000,2154.2300000
US1.AMZN,D,20200219,000000,2170.9900000
US1.AMZN,D,20200220,000000,2153.5600000
US1.AMZN,D,20200221,000000,2095.7600000
US1.AMZN,D,20200224,000000,2009.1700000
US1.AMZN,D,20200225,000000,1971.6300000
US1.AMZN,D,20200226,000000,1980.7100000
US1.AMZN,D,20200227,000000,1884.6400000
US1.AMZN,D,20200228,000000,1884.1200000
US1.AMZN,D,20200302,000000,1953.9200000
US1.AMZN,D,20200303,000000,1906.1900000
US1.AMZN,D,20200304,000000,1973.7100000
US1.AMZN,D,20200305,000000,1925.8300000
US1.AMZN,D,20200306,000000,1899.3300000
US1.AMZN,D,20200309,000000,1800.0000000
US1.AMZN,D,20200310,000000,1892.0300000
US1.AMZN,D,20200311,000000,1820.2000000
US1.AMZN,D,20200312,000000,1675.6900000
US1.AMZN,D,20200313,000000,1783.0100000
US1.AMZN,D,20200316,000000,1688.2900000
US1.AMZN,D,20200317,000000,1811.1500000
US1.AMZN,D,20200318,000000,1832.4000000
US1.AMZN,D,20200319,000000,1877.8500000
US1.AMZN,D,20200320,000000,1843.3700000
US1.AMZN,D,20200323,000000,1902.5400000
US1.AMZN,D,20200324,000000,1940.0000000
US1.AMZN,D,20200325,000000,1887.6900000
US1.AMZN,D,20200326,000000,1955.4100000
US1.AMZN,D,20200327,000000,1900.1900000
US1.AMZN,D,20200330,000000,1962.5200000
US1.AMZN,D,20200331,000000,1947.3400000
US1.AMZN,D,20200401,000000,1908.9800000
US1.AMZN,D,20200402,000000,1918.6500000
US1.AMZN,D,20200403,000000,1905.7300000
US1.AMZN,D,20200406,000000,1994.4100000
US1.AMZN,D,20200407,000000,2011.6000000
US1.AMZN,D,20200408,000000,2044.0000000
US1.AMZN,D,20200409,000000,2043.9700000
US1.AMZN,D,20200413,000000,2168.0100000
US1.AMZN,D,20200414,000000,2282.5000000
US1.AMZN,D,20200415,000000,2306.9200000
US1.AMZN,D,20200416,000000,2408.1900000
US1.AMZN,D,20200417,000000,2376.8200000
US1.AMZN,D,20200421,000000,2333.0300000
US1.AMZN,D,20200422,000000,2361.4600000
US1.AMZN,D,20200423,000000,2399.4400000
US1.AMZN,D,20200424,000000,2410.6000000
US1.AMZN,D,20200427,000000,2376.0000000
US1.AMZN,D,20200428,000000,2313.2800000
US1.AMZN,D,20200429,000000,2370.0000000
US1.AMZN,D,20200430,000000,2471.5000000
US1.AMZN,D,20200501,000000,2287.0000000
US1.AMZN,D,20200504,000000,2314.0000000
US1.AMZN,D,20200505,000000,2319.1100000
US1.AMZN,D,20200506,000000,2350.0200000
US1.AMZN,D,20200507,000000,2367.4000000
US1.AMZN,D,20200508,000000,2379.4700000
US1.AMZN,D,20200511,000000,2406.5500000
US1.AMZN,D,20200512,000000,2355.6100000
US1.AMZN,D,20200513,000000,2368.6400000
US1.AMZN,D,20200514,000000,2389.0100000
US1.AMZN,D,20200515,000000,2410.8200000
US1.AMZN,D,20200518,000000,2426.8200000
US1.AMZN,D,20200519,000000,2478.0600000
