<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.DIS,D,20100104,000000,32.0700000
US1.DIS,D,20100105,000000,31.9900000
US1.DIS,D,20100106,000000,31.8200000
US1.DIS,D,20100107,000000,31.8300000
US1.DIS,D,20100108,000000,31.8800000
US1.DIS,D,20100111,000000,31.3600000
US1.DIS,D,20100112,000000,30.8200000
US1.DIS,D,20100113,000000,31.2900000
US1.DIS,D,20100114,000000,31.0200000
US1.DIS,D,20100115,000000,30.6000000
US1.DIS,D,20100119,000000,31.0100000
US1.DIS,D,20100120,000000,31.1900000
US1.DIS,D,20100121,000000,30.6100000
US1.DIS,D,20100122,000000,29.9800000
US1.DIS,D,20100125,000000,29.9200000
US1.DIS,D,20100126,000000,29.6600000
US1.DIS,D,20100127,000000,29.3200000
US1.DIS,D,20100128,000000,29.3500000
US1.DIS,D,20100129,000000,29.5500000
US1.DIS,D,20100201,000000,29.5200000
US1.DIS,D,20100202,000000,29.9800000
US1.DIS,D,20100203,000000,30.7500000
US1.DIS,D,20100204,000000,29.6700000
US1.DIS,D,20100205,000000,29.5400000
US1.DIS,D,20100208,000000,29.4800000
US1.DIS,D,20100209,000000,29.8400000
US1.DIS,D,20100210,000000,30.0300000
US1.DIS,D,20100211,000000,30.1790000
US1.DIS,D,20100212,000000,30.0700000
US1.DIS,D,20100216,000000,30.4700000
US1.DIS,D,20100217,000000,30.8600000
US1.DIS,D,20100218,000000,31.0200000
US1.DIS,D,20100219,000000,31.2300000
US1.DIS,D,20100222,000000,31.1200000
US1.DIS,D,20100223,000000,30.9200000
US1.DIS,D,20100224,000000,31.3900000
US1.DIS,D,20100225,000000,31.3600000
US1.DIS,D,20100226,000000,31.2400000
US1.DIS,D,20100301,000000,31.5400000
US1.DIS,D,20100302,000000,31.8800000
US1.DIS,D,20100303,000000,31.6400000
US1.DIS,D,20100304,000000,32.5700000
US1.DIS,D,20100305,000000,33.2200000
US1.DIS,D,20100308,000000,33.1900000
US1.DIS,D,20100309,000000,33.3100000
US1.DIS,D,20100310,000000,33.3300000
US1.DIS,D,20100311,000000,33.8100000
US1.DIS,D,20100312,000000,33.6900000
US1.DIS,D,20100315,000000,33.7200000
US1.DIS,D,20100316,000000,33.7500000
US1.DIS,D,20100317,000000,33.7500000
US1.DIS,D,20100318,000000,33.7800000
US1.DIS,D,20100319,000000,33.6400000
US1.DIS,D,20100322,000000,33.9500000
US1.DIS,D,20100323,000000,34.0100000
US1.DIS,D,20100324,000000,34.3900000
US1.DIS,D,20100325,000000,35.1100000
US1.DIS,D,20100326,000000,35.3100000
US1.DIS,D,20100329,000000,35.1600000
