<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.FB,D,20190131,000000,166.6300000
US1.FB,D,20190228,000000,161.2600000
US1.FB,D,20190424,000000,182.6900000
US1.FB,D,20190425,000000,193.2300000
US1.FB,D,20190426,000000,191.4500000
US1.FB,D,20190429,000000,194.7800000
US1.FB,D,20190430,000000,193.3700000
US1.FB,D,20190501,000000,193.0200000
US1.FB,D,20190502,000000,192.5300000
US1.FB,D,20190503,000000,195.4500000
US1.FB,D,20190506,000000,193.8500000
US1.FB,D,20190507,000000,189.9000000
US1.FB,D,20190508,000000,189.6900000
US1.FB,D,20190509,000000,188.6900000
US1.FB,D,20190510,000000,188.4700000
US1.FB,D,20190513,000000,181.4800000
US1.FB,D,20190514,000000,180.6900000
US1.FB,D,20190515,000000,186.4100000
US1.FB,D,20190516,000000,186.9400000
US1.FB,D,20190517,000000,185.2700000
US1.FB,D,20190520,000000,182.6800000
US1.FB,D,20190521,000000,184.8200000
US1.FB,D,20190522,000000,185.2800000
US1.FB,D,20190523,000000,180.9000000
US1.FB,D,20190524,000000,181.0700000
US1.FB,D,20190528,000000,184.2200000
US1.FB,D,20190529,000000,182.2100000
US1.FB,D,20190530,000000,182.9500000
US1.FB,D,20190531,000000,177.4300000
US1.FB,D,20190603,000000,163.5900000
US1.FB,D,20190604,000000,167.5600000
US1.FB,D,20190605,000000,168.1100000
US1.FB,D,20190606,000000,168.3400000
US1.FB,D,20190607,000000,173.3400000
US1.FB,D,20190610,000000,174.8300000
US1.FB,D,20190611,000000,178.1300000
US1.FB,D,20190612,000000,175.0000000
US1.FB,D,20190613,000000,177.4400000
US1.FB,D,20190614,000000,181.3700000
US1.FB,D,20190617,000000,189.0800000
US1.FB,D,20190618,000000,188.4700000
US1.FB,D,20190619,000000,187.4300000
US1.FB,D,20190620,000000,189.5300000
US1.FB,D,20190621,000000,191.1500000
US1.FB,D,20190624,000000,192.6700000
US1.FB,D,20190625,000000,188.8400000
US1.FB,D,20190626,000000,187.6000000
US1.FB,D,20190627,000000,189.5400000
US1.FB,D,20190628,000000,193.0400000
US1.FB,D,20190701,000000,193.0000000
US1.FB,D,20190702,000000,195.0000000
US1.FB,D,20190703,000000,197.1700000
US1.FB,D,20190705,000000,196.4000000
US1.FB,D,20190708,000000,195.7700000
US1.FB,D,20190709,000000,199.2500000
US1.FB,D,20190710,000000,202.6800000
US1.FB,D,20190711,000000,201.2300000
US1.FB,D,20190712,000000,204.9400000
US1.FB,D,20190715,000000,203.9300000
US1.FB,D,20190716,000000,203.8300000
US1.FB,D,20190717,000000,201.9000000
US1.FB,D,20190718,000000,200.7700000
US1.FB,D,20190719,000000,198.3300000
US1.FB,D,20190722,000000,202.3000000
US1.FB,D,20190723,000000,202.4000000
US1.FB,D,20190724,000000,204.6600000
US1.FB,D,20190725,000000,200.6800000
US1.FB,D,20190726,000000,199.7300000
US1.FB,D,20190729,000000,195.9200000
US1.FB,D,20190730,000000,196.9100000
US1.FB,D,20190731,000000,194.3000000
US1.FB,D,20190801,000000,192.7400000
US1.FB,D,20190802,000000,189.0100000
US1.FB,D,20190805,000000,181.6600000
US1.FB,D,20190806,000000,184.5100000
US1.FB,D,20190807,000000,185.1200000
US1.FB,D,20190808,000000,190.1700000
US1.FB,D,20190809,000000,187.8800000
US1.FB,D,20190812,000000,185.3600000
US1.FB,D,20190813,000000,188.4900000
US1.FB,D,20190814,000000,179.6600000
US1.FB,D,20190815,000000,182.6000000
US1.FB,D,20190816,000000,183.7000000
US1.FB,D,20190819,000000,186.1900000
US1.FB,D,20190820,000000,183.7700000
US1.FB,D,20190821,000000,183.5450000
US1.FB,D,20190822,000000,182.0500000
US1.FB,D,20190823,000000,177.7900000
US1.FB,D,20190826,000000,180.4900000
US1.FB,D,20190827,000000,181.3100000
US1.FB,D,20190828,000000,181.7400000
US1.FB,D,20190829,000000,185.5900000
US1.FB,D,20190830,000000,185.3800000
US1.FB,D,20190903,000000,182.4200000
US1.FB,D,20190904,000000,187.1700000
US1.FB,D,20190905,000000,190.8800000
US1.FB,D,20190906,000000,187.5800000
US1.FB,D,20190909,000000,188.8200000
US1.FB,D,20190910,000000,186.3300000
US1.FB,D,20190911,000000,188.5400000
US1.FB,D,20190912,000000,187.5000000
US1.FB,D,20190913,000000,187.1700000
US1.FB,D,20190916,000000,186.2600000
US1.FB,D,20190917,000000,188.1100000
US1.FB,D,20190918,000000,188.2200000
US1.FB,D,20190919,000000,190.1500000
US1.FB,D,20190920,000000,189.8800000
US1.FB,D,20190923,000000,186.8600000
