<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.GOOGL,D,20190131,000000,1126.0600000
US1.GOOGL,D,20190228,000000,1124.8600000
US1.GOOGL,D,20190424,000000,1260.3400000
US1.GOOGL,D,20190425,000000,1267.9400000
US1.GOOGL,D,20190426,000000,1277.3200000
US1.GOOGL,D,20190429,000000,1295.7000000
US1.GOOGL,D,20190430,000000,1199.3100000
US1.GOOGL,D,20190501,000000,1172.7100000
US1.GOOGL,D,20190502,000000,1165.9900000
US1.GOOGL,D,20190503,000000,1189.5800000
US1.GOOGL,D,20190506,000000,1194.4500000
US1.GOOGL,D,20190507,000000,1179.6400000
US1.GOOGL,D,20190508,000000,1171.7100000
US1.GOOGL,D,20190509,000000,1168.1100000
US1.GOOGL,D,20190510,000000,1167.7600000
US1.GOOGL,D,20190513,000000,1136.8800000
US1.GOOGL,D,20190514,000000,1124.8200000
US1.GOOGL,D,20190515,000000,1170.7700000
US1.GOOGL,D,20190516,000000,1184.5000000
US1.GOOGL,D,20190517,000000,1168.2600000
US1.GOOGL,D,20190520,000000,1144.4500000
US1.GOOGL,D,20190521,000000,1154.9600000
US1.GOOGL,D,20190522,000000,1156.9600000
US1.GOOGL,D,20190523,000000,1145.4800000
US1.GOOGL,D,20190524,000000,1138.7400000
US1.GOOGL,D,20190528,000000,1140.3100000
US1.GOOGL,D,20190529,000000,1119.8000000
US1.GOOGL,D,20190530,000000,1121.2400000
US1.GOOGL,D,20190531,000000,1106.5000000
US1.GOOGL,D,20190603,000000,1039.2600000
US1.GOOGL,D,20190604,000000,1055.1500000
US1.GOOGL,D,20190605,000000,1044.7700000
US1.GOOGL,D,20190606,000000,1046.4900000
US1.GOOGL,D,20190607,000000,1068.9200000
US1.GOOGL,D,20190610,000000,1081.8200000
US1.GOOGL,D,20190611,000000,1080.4300000
US1.GOOGL,D,20190612,000000,1078.6000000
US1.GOOGL,D,20190613,000000,1089.9200000
US1.GOOGL,D,20190614,000000,1086.0200000
US1.GOOGL,D,20190617,000000,1092.9900000
US1.GOOGL,D,20190618,000000,1105.7300000
US1.GOOGL,D,20190619,000000,1104.8400000
US1.GOOGL,D,20190620,000000,1114.8100000
US1.GOOGL,D,20190621,000000,1125.1700000
US1.GOOGL,D,20190624,000000,1116.8700000
US1.GOOGL,D,20190625,000000,1088.1400000
US1.GOOGL,D,20190626,000000,1080.5100000
US1.GOOGL,D,20190627,000000,1076.3200000
US1.GOOGL,D,20190628,000000,1082.2700000
US1.GOOGL,D,20190701,000000,1099.5700000
US1.GOOGL,D,20190702,000000,1112.7500000
US1.GOOGL,D,20190703,000000,1122.4100000
US1.GOOGL,D,20190705,000000,1132.6700000
US1.GOOGL,D,20190708,000000,1115.9100000
US1.GOOGL,D,20190709,000000,1124.7600000
US1.GOOGL,D,20190710,000000,1141.2100000
US1.GOOGL,D,20190711,000000,1143.4100000
US1.GOOGL,D,20190712,000000,1145.3000000
US1.GOOGL,D,20190715,000000,1150.2100000
US1.GOOGL,D,20190716,000000,1152.9700000
US1.GOOGL,D,20190717,000000,1147.4100000
US1.GOOGL,D,20190718,000000,1147.3100000
US1.GOOGL,D,20190719,000000,1132.3000000
US1.GOOGL,D,20190722,000000,1139.0600000
US1.GOOGL,D,20190723,000000,1148.1000000
US1.GOOGL,D,20190724,000000,1140.3700000
US1.GOOGL,D,20190725,000000,1135.6500000
US1.GOOGL,D,20190726,000000,1249.3100000
US1.GOOGL,D,20190729,000000,1242.8700000
US1.GOOGL,D,20190730,000000,1227.2100000
US1.GOOGL,D,20190731,000000,1219.5600000
US1.GOOGL,D,20190801,000000,1211.9100000
US1.GOOGL,D,20190802,000000,1196.3100000
US1.GOOGL,D,20190805,000000,1154.7900000
US1.GOOGL,D,20190806,000000,1170.8900000
US1.GOOGL,D,20190807,000000,1176.0000000
US1.GOOGL,D,20190808,000000,1205.1650000
US1.GOOGL,D,20190809,000000,1188.9000000
US1.GOOGL,D,20190812,000000,1174.0500000
US1.GOOGL,D,20190813,000000,1197.0500000
