<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.GOOG,60,20180102,180000,1053.9300000
US1.GOOG,60,20180102,190000,1062.6750000
US1.GOOG,60,20180102,200000,1065.6200000
US1.GOOG,60,20180102,210000,1063.3000000
US1.GOOG,60,20180102,220000,1063.5450000
US1.GOOG,60,20180102,230000,1064.5444000
US1.GOOG,60,20180103,000000,1065.0000000
US1.GOOG,60,20180103,180000,1074.5500000
US1.GOOG,60,20180103,190000,1073.9203000
US1.GOOG,60,20180103,200000,1081.0000000
US1.GOOG,60,20180103,210000,1084.8400000
US1.GOOG,60,20180103,220000,1081.7820000
US1.GOOG,60,20180103,230000,1084.0100000
US1.GOOG,60,20180104,000000,1081.7500000
US1.GOOG,60,20180104,180000,1091.8205000
US1.GOOG,60,20180104,190000,1089.8500000
US1.GOOG,60,20180104,200000,1085.3100000
US1.GOOG,60,20180104,210000,1087.4800000
US1.GOOG,60,20180104,220000,1084.9700000
US1.GOOG,60,20180104,230000,1086.4600000
US1.GOOG,60,20180105,000000,1086.2800000
US1.GOOG,60,20180105,180000,1094.1850000
US1.GOOG,60,20180105,190000,1104.1500000
US1.GOOG,60,20180105,200000,1102.0200000
US1.GOOG,60,20180105,210000,1101.8100000
US1.GOOG,60,20180105,220000,1101.3150000
US1.GOOG,60,20180105,230000,1100.0900000
US1.GOOG,60,20180106,000000,1100.9500000
US1.GOOG,60,20180108,180000,1107.2300000
US1.GOOG,60,20180108,190000,1110.0300000
US1.GOOG,60,20180108,200000,1109.1100000
US1.GOOG,60,20180108,210000,1107.5950000
US1.GOOG,60,20180108,220000,1106.4200000
US1.GOOG,60,20180108,230000,1106.7200000
US1.GOOG,60,20180109,000000,1107.0000000
US1.GOOG,60,20180109,180000,1103.4200000
US1.GOOG,60,20180109,190000,1103.3100000
US1.GOOG,60,20180109,200000,1107.7900000
US1.GOOG,60,20180109,210000,1107.7596000
US1.GOOG,60,20180109,220000,1107.5500000
US1.GOOG,60,20180109,230000,1106.6200000
US1.GOOG,60,20180110,000000,1106.4200000
US1.GOOG,60,20180110,180000,1098.2700000
US1.GOOG,60,20180110,190000,1099.7500000
US1.GOOG,60,20180110,200000,1099.2800000
US1.GOOG,60,20180110,210000,1100.0600000
US1.GOOG,60,20180110,220000,1100.3700000
US1.GOOG,60,20180110,230000,1100.2500000
US1.GOOG,60,20180111,000000,1102.0500000
US1.GOOG,60,20180111,180000,1100.9300000
US1.GOOG,60,20180111,190000,1100.7800000
US1.GOOG,60,20180111,200000,1100.8800000
US1.GOOG,60,20180111,210000,1102.4800000
US1.GOOG,60,20180111,220000,1101.5650000
US1.GOOG,60,20180111,230000,1100.5100000
US1.GOOG,60,20180112,000000,1105.4300000
US1.GOOG,60,20180112,180000,1112.4700000
US1.GOOG,60,20180112,190000,1118.3200000
US1.GOOG,60,20180112,200000,1120.5000000
US1.GOOG,60,20180112,210000,1120.1850000
US1.GOOG,60,20180112,220000,1119.6250000
US1.GOOG,60,20180112,230000,1120.1400000
US1.GOOG,60,20180113,000000,1122.1000000
US1.GOOG,60,20180116,180000,1136.0500000
US1.GOOG,60,20180116,190000,1131.8385000
US1.GOOG,60,20180116,200000,1127.9300000
US1.GOOG,60,20180116,210000,1123.7650000
US1.GOOG,60,20180116,220000,1121.8200000
US1.GOOG,60,20180116,230000,1119.0900000
US1.GOOG,60,20180117,000000,1121.5000000
US1.GOOG,60,20180117,180000,1120.0900000
US1.GOOG,60,20180117,190000,1118.6800000
US1.GOOG,60,20180117,200000,1120.8000000
US1.GOOG,60,20180117,210000,1127.6174000
US1.GOOG,60,20180117,220000,1128.9600000
US1.GOOG,60,20180117,230000,1129.1200000
US1.GOOG,60,20180118,000000,1132.1100000
US1.GOOG,60,20180118,180000,1125.5700000
US1.GOOG,60,20180118,190000,1124.7500000
US1.GOOG,60,20180118,200000,1126.2200000
US1.GOOG,60,20180118,210000,1126.5400000
US1.GOOG,60,20180118,220000,1126.6700000
US1.GOOG,60,20180118,230000,1130.5900000
US1.GOOG,60,20180119,000000,1129.8500000
US1.GOOG,60,20180119,180000,1132.6600000
US1.GOOG,60,20180119,190000,1130.0200000
US1.GOOG,60,20180119,200000,1128.7700000
US1.GOOG,60,20180119,210000,1130.2300000
US1.GOOG,60,20180119,220000,1130.7000000
US1.GOOG,60,20180119,230000,1135.3100000
US1.GOOG,60,20180120,000000,1137.3600000
US1.GOOG,60,20180122,180000,1145.9700000
US1.GOOG,60,20180122,190000,1154.4400000
US1.GOOG,60,20180122,200000,1155.9600000
US1.GOOG,60,20180122,210000,1157.6400000
US1.GOOG,60,20180122,220000,1154.8500000
US1.GOOG,60,20180122,230000,1152.0600000
US1.GOOG,60,20180123,000000,1155.4800000
US1.GOOG,60,20180123,180000,1159.8800000
US1.GOOG,60,20180123,190000,1168.4400000
US1.GOOG,60,20180123,200000,1164.6500000
US1.GOOG,60,20180123,210000,1163.3300000
US1.GOOG,60,20180123,220000,1165.9900000
US1.GOOG,60,20180123,230000,1167.5300000
US1.GOOG,60,20180124,000000,1169.9700000
US1.GOOG,60,20180124,180000,1172.4375000
US1.GOOG,60,20180124,190000,1173.1500000
US1.GOOG,60,20180124,200000,1169.3895000
US1.GOOG,60,20180124,210000,1165.9710000
US1.GOOG,60,20180124,220000,1170.4708000
US1.GOOG,60,20180124,230000,1171.7100000
US1.GOOG,60,20180125,000000,1164.2200000
US1.GOOG,60,20180125,180000,1163.8000000
US1.GOOG,60,20180125,190000,1170.1700000
US1.GOOG,60,20180125,200000,1170.2600000
US1.GOOG,60,20180125,210000,1173.2700000
US1.GOOG,60,20180125,220000,1174.2800000
US1.GOOG,60,20180125,230000,1166.5001000
US1.GOOG,60,20180126,000000,1170.3700000
US1.GOOG,60,20180126,180000,1166.2300000
US1.GOOG,60,20180126,190000,1173.6500000
US1.GOOG,60,20180126,200000,1166.9800000
US1.GOOG,60,20180126,210000,1169.3800000
US1.GOOG,60,20180126,220000,1171.0200000
US1.GOOG,60,20180126,230000,1169.9300000
US1.GOOG,60,20180127,000000,1175.4400000
US1.GOOG,60,20180129,180000,1181.1300000
US1.GOOG,60,20180129,190000,1179.0000000
US1.GOOG,60,20180129,200000,1179.2400000
US1.GOOG,60,20180129,210000,1179.1500000
US1.GOOG,60,20180129,220000,1178.6000000
US1.GOOG,60,20180129,230000,1177.5500000
US1.GOOG,60,20180130,000000,1175.5700000
US1.GOOG,60,20180130,180000,1168.0100000
US1.GOOG,60,20180130,190000,1172.2800000
