<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.GOOG;D;20180102;000000;1065.0000000
US1.GOOG;D;20180103;000000;1081.7500000
US1.GOOG;D;20180104;000000;1086.2800000
US1.GOOG;D;20180105;000000;1100.9500000
US1.GOOG;D;20180108;000000;1107.0000000
US1.GOOG;D;20180109;000000;1106.4200000
US1.GOOG;D;20180110;000000;1102.4700000
US1.GOOG;D;20180111;000000;1105.4300000
US1.GOOG;D;20180112;000000;1122.1000000
US1.GOOG;D;20180116;000000;1121.5000000
US1.GOOG;D;20180117;000000;1132.1100000
US1.GOOG;D;20180118;000000;1129.8500000
US1.GOOG;D;20180119;000000;1137.3600000
US1.GOOG;D;20180122;000000;1155.4800000
US1.GOOG;D;20180123;000000;1169.9700000
US1.GOOG;D;20180124;000000;1164.2200000
US1.GOOG;D;20180125;000000;1170.3700000
US1.GOOG;D;20180126;000000;1175.4400000
US1.GOOG;D;20180129;000000;1175.5700000
US1.GOOG;D;20180130;000000;1163.7600000
US1.GOOG;D;20180131;000000;1171.8300000
US1.GOOG;D;20180201;000000;1166.9400000
US1.GOOG;D;20180202;000000;1112.5300000
US1.GOOG;D;20180205;000000;1058.6450000
US1.GOOG;D;20180206;000000;1080.3100000
US1.GOOG;D;20180207;000000;1048.8400000
US1.GOOG;D;20180208;000000;1001.0000000
US1.GOOG;D;20180209;000000;1035.0200000
US1.GOOG;D;20180212;000000;1050.2200000
US1.GOOG;D;20180213;000000;1052.0800000
US1.GOOG;D;20180214;000000;1069.2300000
US1.GOOG;D;20180215;000000;1088.5500000
US1.GOOG;D;20180216;000000;1094.7000000
US1.GOOG;D;20180220;000000;1102.6300000
US1.GOOG;D;20180221;000000;1111.8500000
US1.GOOG;D;20180222;000000;1107.9400000
US1.GOOG;D;20180223;000000;1126.5650000
US1.GOOG;D;20180226;000000;1143.4600000
US1.GOOG;D;20180227;000000;1119.3500000
US1.GOOG;D;20180228;000000;1105.5000000
US1.GOOG;D;20180301;000000;1068.7100000
US1.GOOG;D;20180302;000000;1078.5600000
US1.GOOG;D;20180305;000000;1090.9300000
US1.GOOG;D;20180306;000000;1095.0000000
US1.GOOG;D;20180307;000000;1110.0100000
US1.GOOG;D;20180308;000000;1125.7400000
US1.GOOG;D;20180309;000000;1160.4400000
US1.GOOG;D;20180312;000000;1164.4400000
US1.GOOG;D;20180313;000000;1137.7600000
US1.GOOG;D;20180314;000000;1147.6400000
US1.GOOG;D;20180315;000000;1149.6600000
US1.GOOG;D;20180316;000000;1135.4600000
US1.GOOG;D;20180319;000000;1100.1100000
US1.GOOG;D;20180320;000000;1097.9200000
US1.GOOG;D;20180321;000000;1090.0700000
