<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.IAU,D,20160330,000000,11.9050000
US1.IAU,D,20171025,000000,12.2800000
US1.IAU,D,20171026,000000,12.1750000
US1.IAU,D,20171027,000000,12.2350000
US1.IAU,D,20171030,000000,12.2550000
US1.IAU,D,20171031,000000,12.2100000
US1.IAU,D,20171101,000000,12.2550000
US1.IAU,D,20171102,000000,12.2650000
US1.IAU,D,20171103,000000,12.2050000
US1.IAU,D,20171106,000000,12.3100000
US1.IAU,D,20171107,000000,12.2650000
US1.IAU,D,20171108,000000,12.3050000
US1.IAU,D,20171109,000000,12.3550000
US1.IAU,D,20171110,000000,12.2600000
US1.IAU,D,20171113,000000,12.2750000
US1.IAU,D,20171114,000000,12.3050000
US1.IAU,D,20171115,000000,12.2850000
US1.IAU,D,20171116,000000,12.2850000
US1.IAU,D,20171117,000000,12.4350000
US1.IAU,D,20171120,000000,12.2750000
US1.IAU,D,20171121,000000,12.2950000
US1.IAU,D,20171122,000000,12.4100000
US1.IAU,D,20171124,000000,12.3750000
US1.IAU,D,20171127,000000,12.4300000
US1.IAU,D,20171128,000000,12.4250000
US1.IAU,D,20171129,000000,12.3450000
US1.IAU,D,20171130,000000,12.2450000
US1.IAU,D,20171201,000000,12.3050000
US1.IAU,D,20171204,000000,12.2650000
US1.IAU,D,20171205,000000,12.1750000
US1.IAU,D,20171206,000000,12.1500000
US1.IAU,D,20171207,000000,11.9900000
US1.IAU,D,20171208,000000,11.9850000
US1.IAU,D,20171211,000000,11.9400000
US1.IAU,D,20171212,000000,11.9550000
US1.IAU,D,20171213,000000,12.0550000
US1.IAU,D,20171214,000000,12.0350000
US1.IAU,D,20171215,000000,12.0650000
US1.IAU,D,20171218,000000,12.1200000
US1.IAU,D,20171219,000000,12.1250000
US1.IAU,D,20171220,000000,12.1600000
US1.IAU,D,20171221,000000,12.1700000
US1.IAU,D,20171222,000000,12.2400000
US1.IAU,D,20171226,000000,12.3250000
US1.IAU,D,20171227,000000,12.3750000
US1.IAU,D,20171228,000000,12.4300000
US1.IAU,D,20171229,000000,12.5150000
US1.IAU,D,20180102,000000,12.6700000
US1.IAU,D,20180103,000000,12.6350000
US1.IAU,D,20180104,000000,12.7000000
US1.IAU,D,20180105,000000,12.6850000
US1.IAU,D,20180108,000000,12.6850000
US1.IAU,D,20180109,000000,12.6200000
US1.IAU,D,20180110,000000,12.6550000
US1.IAU,D,20180111,000000,12.6950000
US1.IAU,D,20180112,000000,12.8550000
US1.IAU,D,20180116,000000,12.8650000
US1.IAU,D,20180117,000000,12.7650000
US1.IAU,D,20180118,000000,12.7450000
US1.IAU,D,20180119,000000,12.8000000
US1.IAU,D,20180122,000000,12.8200000
US1.IAU,D,20180123,000000,12.8800000
US1.IAU,D,20180124,000000,13.0450000
US1.IAU,D,20180125,000000,12.9500000
US1.IAU,D,20180126,000000,12.9650000
US1.IAU,D,20180129,000000,12.8950000
US1.IAU,D,20180130,000000,12.8350000
US1.IAU,D,20180131,000000,12.9250000
US1.IAU,D,20180201,000000,12.9650000
US1.IAU,D,20180202,000000,12.7850000
US1.IAU,D,20180205,000000,12.8350000
US1.IAU,D,20180206,000000,12.6950000
US1.IAU,D,20180207,000000,12.6250000
US1.IAU,D,20180208,000000,12.6550000
US1.IAU,D,20180209,000000,12.6250000
US1.IAU,D,20180212,000000,12.6900000
