<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.IBM,D,20100104,000000,132.4500000
US1.IBM,D,20100105,000000,130.8500000
US1.IBM,D,20100106,000000,130.0000000
US1.IBM,D,20100107,000000,129.5500000
US1.IBM,D,20100108,000000,130.8500000
US1.IBM,D,20100111,000000,129.4800000
US1.IBM,D,20100112,000000,130.5100000
US1.IBM,D,20100113,000000,130.2300000
US1.IBM,D,20100114,000000,132.3100000
US1.IBM,D,20100115,000000,131.7800000
US1.IBM,D,20100119,000000,134.1400000
US1.IBM,D,20100120,000000,130.2500000
US1.IBM,D,20100121,000000,129.0000000
US1.IBM,D,20100122,000000,125.5000000
US1.IBM,D,20100125,000000,126.1200000
US1.IBM,D,20100126,000000,125.7500000
US1.IBM,D,20100127,000000,126.3300000
US1.IBM,D,20100128,000000,123.7500000
US1.IBM,D,20100129,000000,122.3900000
US1.IBM,D,20100201,000000,124.6700000
US1.IBM,D,20100202,000000,125.5300000
US1.IBM,D,20100203,000000,125.6600000
US1.IBM,D,20100204,000000,123.0000000
US1.IBM,D,20100205,000000,123.5200000
US1.IBM,D,20100208,000000,121.8800000
US1.IBM,D,20100209,000000,123.2100000
US1.IBM,D,20100210,000000,122.8100000
US1.IBM,D,20100211,000000,123.7300000
US1.IBM,D,20100212,000000,124.0000000
US1.IBM,D,20100216,000000,125.2300000
US1.IBM,D,20100217,000000,126.3300000
US1.IBM,D,20100218,000000,127.8100000
US1.IBM,D,20100219,000000,127.1900000
US1.IBM,D,20100222,000000,126.8500000
US1.IBM,D,20100223,000000,126.4600000
US1.IBM,D,20100224,000000,127.5900000
US1.IBM,D,20100225,000000,127.0700000
US1.IBM,D,20100226,000000,127.1600000
US1.IBM,D,20100301,000000,128.5700000
US1.IBM,D,20100302,000000,127.4200000
US1.IBM,D,20100303,000000,126.8800000
US1.IBM,D,20100304,000000,126.7200000
US1.IBM,D,20100305,000000,127.2500000
US1.IBM,D,20100308,000000,126.4100000
US1.IBM,D,20100309,000000,125.5500000
US1.IBM,D,20100310,000000,125.6200000
US1.IBM,D,20100311,000000,127.6000000
US1.IBM,D,20100312,000000,127.9400000
US1.IBM,D,20100315,000000,127.8300000
US1.IBM,D,20100316,000000,128.6700000
US1.IBM,D,20100317,000000,127.7600000
US1.IBM,D,20100318,000000,128.3800000
US1.IBM,D,20100319,000000,127.5900000
US1.IBM,D,20100322,000000,127.9800000
US1.IBM,D,20100323,000000,129.3700000
US1.IBM,D,20100324,000000,128.5300000
US1.IBM,D,20100325,000000,129.2400000
US1.IBM,D,20100326,000000,129.2600000
US1.IBM,D,20100329,000000,128.5900000
US1.IBM,D,20100330,000000,128.7700000
US1.IBM,D,20100331,000000,128.3000000
US1.IBM,D,20100401,000000,128.2500000
US1.IBM,D,20100405,000000,129.3500000
US1.IBM,D,20100406,000000,128.9300000
US1.IBM,D,20100407,000000,128.4800000
US1.IBM,D,20100408,000000,127.6100000
US1.IBM,D,20100409,000000,128.7600000
US1.IBM,D,20100412,000000,128.3600000
US1.IBM,D,20100413,000000,129.0300000
US1.IBM,D,20100414,000000,131.2500000
US1.IBM,D,20100415,000000,130.8900000
US1.IBM,D,20100416,000000,130.6300000
US1.IBM,D,20100419,000000,132.2300000
US1.IBM,D,20100420,000000,129.6900000
US1.IBM,D,20100421,000000,128.9900000
US1.IBM,D,20100422,000000,129.1300000
US1.IBM,D,20100423,000000,129.9900000
US1.IBM,D,20100426,000000,130.7300000
US1.IBM,D,20100427,000000,128.8200000
US1.IBM,D,20100428,000000,130.1000000
US1.IBM,D,20100429,000000,130.4600000
US1.IBM,D,20100430,000000,129.0000000
US1.IBM,D,20100503,000000,129.6000000
US1.IBM,D,20100504,000000,128.1200000
US1.IBM,D,20100505,000000,127.3800000
US1.IBM,D,20100506,000000,123.9200000
US1.IBM,D,20100507,000000,122.1000000
US1.IBM,D,20100510,000000,126.2700000
US1.IBM,D,20100511,000000,126.8900000
US1.IBM,D,20100512,000000,132.6800000
US1.IBM,D,20100513,000000,131.4800000
US1.IBM,D,20100514,000000,131.1900000
US1.IBM,D,20100517,000000,130.4400000
US1.IBM,D,20100518,000000,129.9500000
US1.IBM,D,20100519,000000,128.8600000
US1.IBM,D,20100520,000000,123.8000000
US1.IBM,D,20100521,000000,125.4200000
US1.IBM,D,20100524,000000,124.4500000
US1.IBM,D,20100525,000000,124.5200000
US1.IBM,D,20100526,000000,123.2300000
US1.IBM,D,20100527,000000,126.3900000
US1.IBM,D,20100528,000000,125.2600000
US1.IBM,D,20100601,000000,124.3400000
US1.IBM,D,20100602,000000,127.4100000
US1.IBM,D,20100603,000000,127.9600000
US1.IBM,D,20100604,000000,125.2800000
US1.IBM,D,20100607,000000,124.1300000
US1.IBM,D,20100608,000000,123.7200000
US1.IBM,D,20100609,000000,123.9000000
US1.IBM,D,20100610,000000,127.6800000
US1.IBM,D,20100611,000000,128.4500000
US1.IBM,D,20100614,000000,128.5000000
US1.IBM,D,20100615,000000,129.7900000
US1.IBM,D,20100616,000000,130.3500000
US1.IBM,D,20100617,000000,130.9800000
US1.IBM,D,20100618,000000,130.1500000
US1.IBM,D,20100621,000000,130.6500000
US1.IBM,D,20100622,000000,129.3000000
US1.IBM,D,20100623,000000,130.1100000
US1.IBM,D,20100624,000000,128.1900000
US1.IBM,D,20100625,000000,127.1200000
US1.IBM,D,20100628,000000,129.0600000
US1.IBM,D,20100629,000000,125.0900000
US1.IBM,D,20100630,000000,123.4800000
US1.IBM,D,20100701,000000,122.5700000
US1.IBM,D,20100702,000000,121.8600000
US1.IBM,D,20100706,000000,123.4600000
US1.IBM,D,20100707,000000,127.0000000
US1.IBM,D,20100708,000000,127.9700000
US1.IBM,D,20100709,000000,127.9600000
US1.IBM,D,20100712,000000,128.6900000
US1.IBM,D,20100713,000000,130.4100000
US1.IBM,D,20100714,000000,130.7200000
US1.IBM,D,20100715,000000,130.7200000
US1.IBM,D,20100716,000000,128.0300000
US1.IBM,D,20100719,000000,129.7900000
US1.IBM,D,20100720,000000,126.5500000
US1.IBM,D,20100721,000000,125.2700000
US1.IBM,D,20100722,000000,127.4700000
US1.IBM,D,20100723,000000,128.3800000
US1.IBM,D,20100726,000000,128.4100000
US1.IBM,D,20100727,000000,128.6400000
