<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.INTC,D,20100104,000000,20.8900000
US1.INTC,D,20100105,000000,20.8500000
US1.INTC,D,20100106,000000,20.8100000
US1.INTC,D,20100107,000000,20.6000000
US1.INTC,D,20100108,000000,20.8300000
US1.INTC,D,20100111,000000,20.9500000
US1.INTC,D,20100112,000000,20.6000000
US1.INTC,D,20100113,000000,20.9700000
US1.INTC,D,20100114,000000,21.4700000
US1.INTC,D,20100115,000000,20.8000000
US1.INTC,D,20100119,000000,21.0600000
US1.INTC,D,20100120,000000,21.0800000
US1.INTC,D,20100121,000000,20.8300000
US1.INTC,D,20100122,000000,19.9100000
US1.INTC,D,20100125,000000,20.3200000
US1.INTC,D,20100126,000000,19.9800000
US1.INTC,D,20100127,000000,20.2400000
US1.INTC,D,20100128,000000,19.9200000
US1.INTC,D,20100129,000000,19.4000000
US1.INTC,D,20100201,000000,19.6000000
US1.INTC,D,20100202,000000,19.9100000
US1.INTC,D,20100203,000000,19.6800000
US1.INTC,D,20100204,000000,19.0200000
US1.INTC,D,20100205,000000,19.5000000
US1.INTC,D,20100208,000000,19.3210000
US1.INTC,D,20100209,000000,19.6500000
US1.INTC,D,20100210,000000,19.6900000
US1.INTC,D,20100211,000000,20.0600000
US1.INTC,D,20100212,000000,20.4600000
US1.INTC,D,20100216,000000,20.7200000
US1.INTC,D,20100217,000000,20.6600000
US1.INTC,D,20100218,000000,20.8300000
US1.INTC,D,20100219,000000,20.8200000
US1.INTC,D,20100222,000000,20.8700000
US1.INTC,D,20100223,000000,20.3800000
US1.INTC,D,20100224,000000,20.7000000
US1.INTC,D,20100225,000000,20.6350000
US1.INTC,D,20100226,000000,20.5400000
US1.INTC,D,20100301,000000,20.8900000
US1.INTC,D,20100302,000000,20.7000000
US1.INTC,D,20100303,000000,20.5200000
US1.INTC,D,20100304,000000,20.5300000
US1.INTC,D,20100305,000000,20.8000000
US1.INTC,D,20100308,000000,20.7650000
US1.INTC,D,20100309,000000,20.9400000
US1.INTC,D,20100310,000000,21.2100000
US1.INTC,D,20100311,000000,21.2500000
US1.INTC,D,20100312,000000,21.2700000
US1.INTC,D,20100315,000000,21.1700000
US1.INTC,D,20100316,000000,22.0000000
US1.INTC,D,20100317,000000,22.2400000
US1.INTC,D,20100318,000000,22.1700000
US1.INTC,D,20100319,000000,22.0100000
US1.INTC,D,20100322,000000,22.2400000
US1.INTC,D,20100323,000000,22.6800000
US1.INTC,D,20100324,000000,22.4300000
US1.INTC,D,20100325,000000,22.3500000
US1.INTC,D,20100326,000000,22.2400000
US1.INTC,D,20100329,000000,22.3400000
US1.INTC,D,20100330,000000,22.3500000
US1.INTC,D,20100331,000000,22.2800000
US1.INTC,D,20100401,000000,22.3800000
US1.INTC,D,20100405,000000,22.5900000
US1.INTC,D,20100406,000000,22.4200000
US1.INTC,D,20100407,000000,22.4600000
US1.INTC,D,20100408,000000,22.3100000
US1.INTC,D,20100409,000000,22.5500000
US1.INTC,D,20100412,000000,22.5400000
US1.INTC,D,20100413,000000,22.8200000
US1.INTC,D,20100414,000000,23.5200000
US1.INTC,D,20100415,000000,24.2300000
US1.INTC,D,20100416,000000,23.9200000
US1.INTC,D,20100419,000000,23.9900000
US1.INTC,D,20100420,000000,24.1200000
US1.INTC,D,20100421,000000,23.8000000
US1.INTC,D,20100422,000000,23.9800000
US1.INTC,D,20100423,000000,24.0400000
US1.INTC,D,20100426,000000,23.8300000
US1.INTC,D,20100427,000000,23.3500000
US1.INTC,D,20100428,000000,23.2600000
US1.INTC,D,20100429,000000,23.4800000
US1.INTC,D,20100430,000000,22.8400000
US1.INTC,D,20100503,000000,23.2700000
US1.INTC,D,20100504,000000,22.5500000
US1.INTC,D,20100505,000000,22.1725000
US1.INTC,D,20100506,000000,21.5200000
US1.INTC,D,20100507,000000,21.3100000
US1.INTC,D,20100510,000000,22.5500000
US1.INTC,D,20100511,000000,22.2700000
US1.INTC,D,20100512,000000,23.1300000
US1.INTC,D,20100513,000000,22.4800000
US1.INTC,D,20100514,000000,21.8800000
US1.INTC,D,20100517,000000,22.0000000
US1.INTC,D,20100518,000000,21.4300000
US1.INTC,D,20100519,000000,21.6000000
US1.INTC,D,20100520,000000,20.7900000
US1.INTC,D,20100521,000000,20.9075000
US1.INTC,D,20100524,000000,20.6700000
US1.INTC,D,20100525,000000,20.8500000
US1.INTC,D,20100526,000000,20.7000000
US1.INTC,D,20100527,000000,21.7600000
US1.INTC,D,20100528,000000,21.4200000
US1.INTC,D,20100601,000000,21.1700000
US1.INTC,D,20100602,000000,21.8100000
US1.INTC,D,20100603,000000,21.9000000
US1.INTC,D,20100604,000000,20.9450000
US1.INTC,D,20100607,000000,20.3075000
US1.INTC,D,20100608,000000,20.1800000
US1.INTC,D,20100609,000000,19.9300000
US1.INTC,D,20100610,000000,20.5500000
US1.INTC,D,20100611,000000,20.6400000
US1.INTC,D,20100614,000000,20.8900000
US1.INTC,D,20100615,000000,21.4800000
US1.INTC,D,20100616,000000,21.4890000
US1.INTC,D,20100617,000000,21.5300000
US1.INTC,D,20100618,000000,21.4000000
US1.INTC,D,20100621,000000,21.2000000
US1.INTC,D,20100622,000000,20.9800000
US1.INTC,D,20100623,000000,20.8100000
US1.INTC,D,20100624,000000,20.3200000
US1.INTC,D,20100625,000000,20.0325000
US1.INTC,D,20100628,000000,20.3600000
US1.INTC,D,20100629,000000,19.7900000
US1.INTC,D,20100630,000000,19.4500000
US1.INTC,D,20100701,000000,19.2500000
US1.INTC,D,20100702,000000,19.2000000
US1.INTC,D,20100706,000000,19.4810000
US1.INTC,D,20100707,000000,20.1425000
US1.INTC,D,20100708,000000,20.1000000
US1.INTC,D,20100709,000000,20.2400000
US1.INTC,D,20100712,000000,20.6000000
US1.INTC,D,20100713,000000,21.0000000
US1.INTC,D,20100714,000000,21.3600000
US1.INTC,D,20100715,000000,21.5100000
US1.INTC,D,20100716,000000,21.0200000
US1.INTC,D,20100719,000000,21.5900000
US1.INTC,D,20100720,000000,21.6500000
US1.INTC,D,20100721,000000,21.2600000
US1.INTC,D,20100722,000000,21.7800000
US1.INTC,D,20100723,000000,21.6900000
US1.INTC,D,20100726,000000,21.7100000
US1.INTC,D,20100727,000000,21.5800000
US1.INTC,D,20100728,000000,21.3300000
US1.INTC,D,20100729,000000,21.0300000
US1.INTC,D,20100730,000000,20.6000000
US1.INTC,D,20100802,000000,21.1500000
US1.INTC,D,20100803,000000,20.8700000
US1.INTC,D,20100804,000000,20.7300000
US1.INTC,D,20100805,000000,20.6700000
US1.INTC,D,20100806,000000,20.6500000
US1.INTC,D,20100809,000000,20.6500000
US1.INTC,D,20100810,000000,19.8200000
US1.INTC,D,20100811,000000,19.4250000
US1.INTC,D,20100812,000000,19.4500000
US1.INTC,D,20100813,000000,19.1500000
US1.INTC,D,20100816,000000,19.4700000
US1.INTC,D,20100817,000000,19.5300000
US1.INTC,D,20100818,000000,19.5900000
US1.INTC,D,20100819,000000,18.9000000
US1.INTC,D,20100820,000000,18.9100000
US1.INTC,D,20100823,000000,18.7000000
US1.INTC,D,20100824,000000,18.4050000
US1.INTC,D,20100825,000000,18.4800000
US1.INTC,D,20100826,000000,18.1800000
US1.INTC,D,20100827,000000,18.3700000
US1.INTC,D,20100830,000000,17.9600000
US1.INTC,D,20100831,000000,17.6650000
US1.INTC,D,20100901,000000,18.1400000
US1.INTC,D,20100902,000000,18.2800000
US1.INTC,D,20100903,000000,18.4300000
US1.INTC,D,20100907,000000,18.1200000
US1.INTC,D,20100908,000000,17.9000000
US1.INTC,D,20100909,000000,18.0000000
US1.INTC,D,20100910,000000,17.9700000
US1.INTC,D,20100913,000000,18.5575000
US1.INTC,D,20100914,000000,18.7400000
US1.INTC,D,20100915,000000,18.7200000
US1.INTC,D,20100916,000000,18.9700000
US1.INTC,D,20100917,000000,18.8100000
US1.INTC,D,20100920,000000,18.9301000
US1.INTC,D,20100921,000000,19.1400000
US1.INTC,D,20100922,000000,19.0100000
US1.INTC,D,20100923,000000,18.9800000
US1.INTC,D,20100924,000000,19.4225000
US1.INTC,D,20100927,000000,19.2350000
US1.INTC,D,20100928,000000,19.5050000
US1.INTC,D,20100929,000000,19.2400000
US1.INTC,D,20100930,000000,19.2000000
US1.INTC,D,20101001,000000,19.3200000
US1.INTC,D,20101004,000000,18.8700000
US1.INTC,D,20101005,000000,19.1500000
US1.INTC,D,20101006,000000,19.3100000
US1.INTC,D,20101007,000000,19.4000000
US1.INTC,D,20101008,000000,19.5200000
US1.INTC,D,20101011,000000,19.5600000
US1.INTC,D,20101012,000000,19.7700000
US1.INTC,D,20101013,000000,19.2400000
US1.INTC,D,20101014,000000,19.3200000
US1.INTC,D,20101015,000000,19.3200000
US1.INTC,D,20101018,000000,19.1900000
US1.INTC,D,20101019,000000,19.2100000
US1.INTC,D,20101020,000000,19.6400000
US1.INTC,D,20101021,000000,19.7600000
US1.INTC,D,20101022,000000,19.8350000
US1.INTC,D,20101025,000000,19.8800000
US1.INTC,D,20101026,000000,20.0400000
US1.INTC,D,20101027,000000,20.1900000
US1.INTC,D,20101028,000000,20.4700000
US1.INTC,D,20101029,000000,20.0500000
US1.INTC,D,20101101,000000,20.5700000
US1.INTC,D,20101102,000000,20.3400000
US1.INTC,D,20101103,000000,20.4800000
US1.INTC,D,20101104,000000,20.9700000
US1.INTC,D,20101105,000000,21.2400000
US1.INTC,D,20101108,000000,21.2300000
US1.INTC,D,20101109,000000,21.1600000
US1.INTC,D,20101110,000000,21.0400000
US1.INTC,D,20101111,000000,21.2100000
US1.INTC,D,20101112,000000,21.5300000
US1.INTC,D,20101115,000000,21.2950000
US1.INTC,D,20101116,000000,21.0700000
US1.INTC,D,20101117,000000,21.0800000
US1.INTC,D,20101118,000000,21.0150000
US1.INTC,D,20101119,000000,21.1350000
US1.INTC,D,20101122,000000,21.2500000
US1.INTC,D,20101123,000000,21.0875000
US1.INTC,D,20101124,000000,21.3875000
US1.INTC,D,20101126,000000,21.3400000
US1.INTC,D,20101129,000000,21.3300000
US1.INTC,D,20101130,000000,21.1575000
US1.INTC,D,20101201,000000,21.4800000
US1.INTC,D,20101202,000000,21.7000000
US1.INTC,D,20101203,000000,21.6900000
US1.INTC,D,20101206,000000,21.7000000
US1.INTC,D,20101207,000000,21.5800000
US1.INTC,D,20101208,000000,21.8200000
US1.INTC,D,20101209,000000,21.8100000
US1.INTC,D,20101210,000000,21.9200000
US1.INTC,D,20101213,000000,21.5000000
US1.INTC,D,20101214,000000,21.4700000
US1.INTC,D,20101215,000000,21.2800000
US1.INTC,D,20101216,000000,21.3000000
US1.INTC,D,20101217,000000,21.4600000
US1.INTC,D,20101220,000000,21.2300000
US1.INTC,D,20101221,000000,21.1000000
US1.INTC,D,20101222,000000,20.8900000
US1.INTC,D,20101223,000000,20.8400000
US1.INTC,D,20101227,000000,20.8400000
US1.INTC,D,20101228,000000,20.8800000
US1.INTC,D,20101229,000000,20.9400000
US1.INTC,D,20101230,000000,21.0200000
US1.INTC,D,20101231,000000,21.0300000
US1.INTC,D,20110103,000000,20.8500000
US1.INTC,D,20110105,000000,20.9400000
US1.INTC,D,20110106,000000,20.7700000
US1.INTC,D,20110107,000000,20.6600000
US1.INTC,D,20110110,000000,20.6900000
US1.INTC,D,20110111,000000,21.0500000
US1.INTC,D,20110112,000000,21.3025000
US1.INTC,D,20110113,000000,21.2900000
US1.INTC,D,20110114,000000,21.0800000
US1.INTC,D,20110118,000000,21.0825000
US1.INTC,D,20110119,000000,21.0100000
US1.INTC,D,20110120,000000,20.9500000
US1.INTC,D,20110121,000000,20.8200000
US1.INTC,D,20110124,000000,21.2400000
US1.INTC,D,20110125,000000,21.5500000
US1.INTC,D,20110126,000000,21.7500000
