<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.JNJ,D,20100104,000000,64.6800000
US1.JNJ,D,20100105,000000,63.9300000
US1.JNJ,D,20100106,000000,64.4500000
US1.JNJ,D,20100107,000000,63.9900000
US1.JNJ,D,20100108,000000,64.2100000
US1.JNJ,D,20100111,000000,64.2200000
US1.JNJ,D,20100112,000000,64.5600000
US1.JNJ,D,20100113,000000,64.9700000
US1.JNJ,D,20100114,000000,65.1000000
US1.JNJ,D,20100115,000000,64.5600000
US1.JNJ,D,20100119,000000,65.3500000
US1.JNJ,D,20100120,000000,65.1500000
US1.JNJ,D,20100121,000000,63.9700000
US1.JNJ,D,20100122,000000,63.2000000
US1.JNJ,D,20100125,000000,63.2200000
US1.JNJ,D,20100126,000000,62.7900000
US1.JNJ,D,20100127,000000,63.4400000
US1.JNJ,D,20100128,000000,63.8000000
US1.JNJ,D,20100129,000000,62.8600000
US1.JNJ,D,20100201,000000,63.0900000
US1.JNJ,D,20100202,000000,63.9900000
US1.JNJ,D,20100203,000000,63.6300000
US1.JNJ,D,20100204,000000,62.6400000
US1.JNJ,D,20100205,000000,62.6600000
US1.JNJ,D,20100208,000000,62.3700000
US1.JNJ,D,20100209,000000,62.7600000
US1.JNJ,D,20100210,000000,62.7300000
US1.JNJ,D,20100211,000000,62.9100000
US1.JNJ,D,20100212,000000,62.7200000
US1.JNJ,D,20100216,000000,63.6100000
US1.JNJ,D,20100217,000000,63.9800000
US1.JNJ,D,20100218,000000,64.5300000
US1.JNJ,D,20100219,000000,63.8100000
US1.JNJ,D,20100222,000000,63.4900000
US1.JNJ,D,20100223,000000,63.3100000
US1.JNJ,D,20100224,000000,63.4500000
US1.JNJ,D,20100225,000000,63.2800000
US1.JNJ,D,20100226,000000,63.0000000
US1.JNJ,D,20100301,000000,63.3900000
US1.JNJ,D,20100302,000000,63.4400000
US1.JNJ,D,20100303,000000,63.4000000
US1.JNJ,D,20100304,000000,63.5700000
US1.JNJ,D,20100305,000000,64.0400000
US1.JNJ,D,20100308,000000,64.2000000
US1.JNJ,D,20100309,000000,64.2700000
US1.JNJ,D,20100310,000000,64.2900000
US1.JNJ,D,20100311,000000,64.2200000
US1.JNJ,D,20100312,000000,64.1800000
US1.JNJ,D,20100315,000000,64.5700000
US1.JNJ,D,20100316,000000,64.5300000
US1.JNJ,D,20100317,000000,64.6500000
US1.JNJ,D,20100318,000000,65.0600000
US1.JNJ,D,20100319,000000,65.1100000
US1.JNJ,D,20100322,000000,65.1000000
US1.JNJ,D,20100323,000000,65.3600000
US1.JNJ,D,20100324,000000,64.7500000
US1.JNJ,D,20100325,000000,64.5700000
US1.JNJ,D,20100326,000000,64.3800000
US1.JNJ,D,20100329,000000,64.8200000
US1.JNJ,D,20100330,000000,64.9000000
US1.JNJ,D,20100331,000000,65.2000000
US1.JNJ,D,20100401,000000,65.7600000
US1.JNJ,D,20100405,000000,65.4000000
US1.JNJ,D,20100406,000000,65.3100000
