<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.MCD.W,60,20190131,180000,178.1100000
US1.MCD.W,60,20190131,190000,179.0900000
US1.MCD.W,60,20190131,200000,180.7800000
US1.MCD.W,60,20190131,210000,180.7600000
US1.MCD.W,60,20190131,220000,181.2100000
US1.MCD.W,60,20190131,230000,181.8100000
US1.MCD.W,60,20190201,000000,179.1400000
US1.MCD.W,60,20190201,180000,178.8800000
US1.MCD.W,60,20190201,190000,178.7400000
US1.MCD.W,60,20190201,200000,178.2300000
US1.MCD.W,60,20190201,210000,177.4800000
US1.MCD.W,60,20190201,220000,176.9000000
US1.MCD.W,60,20190201,230000,177.0700000
US1.MCD.W,60,20190202,000000,176.7600000
US1.MCD.W,60,20190204,180000,176.3100000
US1.MCD.W,60,20190204,190000,177.1300000
US1.MCD.W,60,20190204,200000,177.6500000
US1.MCD.W,60,20190204,210000,176.8900000
US1.MCD.W,60,20190204,220000,177.3000000
US1.MCD.W,60,20190204,230000,177.1000000
US1.MCD.W,60,20190205,000000,177.5900000
US1.MCD.W,60,20190205,180000,178.4100000
US1.MCD.W,60,20190205,190000,178.3700000
US1.MCD.W,60,20190205,200000,178.2100000
US1.MCD.W,60,20190205,210000,177.5600000
US1.MCD.W,60,20190205,220000,177.4000000
US1.MCD.W,60,20190205,230000,178.2500000
US1.MCD.W,60,20190206,000000,177.5400000
US1.MCD.W,60,20190206,180000,177.0800000
US1.MCD.W,60,20190206,190000,177.1000000
US1.MCD.W,60,20190206,200000,177.1500000
US1.MCD.W,60,20190206,210000,176.9800000
US1.MCD.W,60,20190206,220000,177.0104000
US1.MCD.W,60,20190206,230000,176.9500000
US1.MCD.W,60,20190207,000000,176.0300000
US1.MCD.W,60,20190207,180000,175.7100000
US1.MCD.W,60,20190207,190000,175.6700000
US1.MCD.W,60,20190207,200000,175.4700000
US1.MCD.W,60,20190207,210000,174.4600000
US1.MCD.W,60,20190207,220000,175.1300000
US1.MCD.W,60,20190207,230000,175.2100000
US1.MCD.W,60,20190208,000000,175.2400000
US1.MCD.W,60,20190208,180000,174.6100000
US1.MCD.W,60,20190208,190000,174.8600000
US1.MCD.W,60,20190208,200000,174.7700000
US1.MCD.W,60,20190208,210000,174.8700000
US1.MCD.W,60,20190208,220000,174.6200000
US1.MCD.W,60,20190208,230000,174.7400000
US1.MCD.W,60,20190209,000000,174.5200000
US1.MCD.W,60,20190211,180000,175.3600000
US1.MCD.W,60,20190211,190000,174.7700000
US1.MCD.W,60,20190211,200000,174.7700000
US1.MCD.W,60,20190211,210000,174.7800000
US1.MCD.W,60,20190211,220000,174.7200000
US1.MCD.W,60,20190211,230000,174.3500000
US1.MCD.W,60,20190212,000000,174.2300000
US1.MCD.W,60,20190212,180000,174.8700000
US1.MCD.W,60,20190212,190000,174.2700000
US1.MCD.W,60,20190212,200000,174.2500000
US1.MCD.W,60,20190212,210000,174.3200000
US1.MCD.W,60,20190212,220000,174.3200000
US1.MCD.W,60,20190212,230000,174.1100000
US1.MCD.W,60,20190213,000000,173.8800000
US1.MCD.W,60,20190213,180000,173.9000000
US1.MCD.W,60,20190213,190000,174.0200000
US1.MCD.W,60,20190213,200000,173.9800000
US1.MCD.W,60,20190213,210000,174.0200000
US1.MCD.W,60,20190213,220000,174.3451000
US1.MCD.W,60,20190213,230000,174.3900000
US1.MCD.W,60,20190214,000000,173.9950000
US1.MCD.W,60,20190214,180000,174.0000000
US1.MCD.W,60,20190214,190000,175.1500000
US1.MCD.W,60,20190214,200000,175.9100000
US1.MCD.W,60,20190214,210000,175.9500000
US1.MCD.W,60,20190214,220000,176.2150000
US1.MCD.W,60,20190214,230000,175.9800000
US1.MCD.W,60,20190215,000000,175.8700000
US1.MCD.W,60,20190215,180000,178.0900000
US1.MCD.W,60,20190215,190000,178.4500000
US1.MCD.W,60,20190215,200000,178.7400000
US1.MCD.W,60,20190215,210000,179.2300000
US1.MCD.W,60,20190215,220000,179.0300000
US1.MCD.W,60,20190215,230000,179.2400000
US1.MCD.W,60,20190216,000000,179.9400000
US1.MCD.W,60,20190219,180000,181.2100000
US1.MCD.W,60,20190219,190000,180.6900000
US1.MCD.W,60,20190219,200000,180.6200000
US1.MCD.W,60,20190219,210000,180.5900000
US1.MCD.W,60,20190219,220000,180.0000000
US1.MCD.W,60,20190219,230000,179.7500000
US1.MCD.W,60,20190220,000000,179.1700000
US1.MCD.W,60,20190220,180000,180.4000000
US1.MCD.W,60,20190220,190000,179.9600000
US1.MCD.W,60,20190220,200000,180.3900000
US1.MCD.W,60,20190220,210000,180.3900000
US1.MCD.W,60,20190220,220000,180.6000000
US1.MCD.W,60,20190220,230000,180.4100000
US1.MCD.W,60,20190221,000000,180.5300000
US1.MCD.W,60,20190221,180000,181.3300000
US1.MCD.W,60,20190221,190000,182.5700000
US1.MCD.W,60,20190221,200000,182.8800000
US1.MCD.W,60,20190221,210000,183.0100000
US1.MCD.W,60,20190221,220000,183.1200000
US1.MCD.W,60,20190221,230000,183.0100000
