<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.NFLX,D,20190131,000000,339.5200000
US1.NFLX,D,20190228,000000,358.3100000
US1.NFLX,D,20190424,000000,374.1500000
US1.NFLX,D,20190425,000000,368.3100000
US1.NFLX,D,20190426,000000,375.0600000
US1.NFLX,D,20190429,000000,371.8300000
US1.NFLX,D,20190430,000000,370.9800000
US1.NFLX,D,20190501,000000,378.8900000
US1.NFLX,D,20190502,000000,379.1900000
US1.NFLX,D,20190503,000000,384.9800000
US1.NFLX,D,20190506,000000,378.5600000
US1.NFLX,D,20190507,000000,370.4200000
US1.NFLX,D,20190508,000000,364.5000000
US1.NFLX,D,20190509,000000,362.7400000
US1.NFLX,D,20190510,000000,360.8800000
US1.NFLX,D,20190513,000000,345.4200000
US1.NFLX,D,20190514,000000,345.5100000
US1.NFLX,D,20190515,000000,355.0000000
US1.NFLX,D,20190516,000000,359.6900000
US1.NFLX,D,20190517,000000,354.3100000
US1.NFLX,D,20190520,000000,348.0500000
US1.NFLX,D,20190521,000000,354.3400000
US1.NFLX,D,20190522,000000,359.7500000
US1.NFLX,D,20190523,000000,352.2300000
US1.NFLX,D,20190524,000000,354.2200000
US1.NFLX,D,20190528,000000,353.6400000
US1.NFLX,D,20190529,000000,349.4500000
US1.NFLX,D,20190530,000000,351.9700000
US1.NFLX,D,20190531,000000,343.2700000
US1.NFLX,D,20190603,000000,336.5400000
US1.NFLX,D,20190604,000000,353.4000000
US1.NFLX,D,20190605,000000,355.6100000
US1.NFLX,D,20190606,000000,357.1200000
US1.NFLX,D,20190607,000000,360.7000000
US1.NFLX,D,20190610,000000,351.9700000
US1.NFLX,D,20190611,000000,351.1000000
US1.NFLX,D,20190612,000000,345.5200000
US1.NFLX,D,20190613,000000,343.2000000
US1.NFLX,D,20190614,000000,339.7000000
US1.NFLX,D,20190617,000000,350.6000000
US1.NFLX,D,20190618,000000,357.0200000
US1.NFLX,D,20190619,000000,363.3400000
US1.NFLX,D,20190620,000000,365.2600000
US1.NFLX,D,20190621,000000,368.8800000
US1.NFLX,D,20190624,000000,370.8700000
US1.NFLX,D,20190625,000000,360.2700000
US1.NFLX,D,20190626,000000,362.0900000
US1.NFLX,D,20190627,000000,370.1200000
US1.NFLX,D,20190628,000000,367.3200000
US1.NFLX,D,20190701,000000,374.7100000
US1.NFLX,D,20190702,000000,375.5700000
US1.NFLX,D,20190703,000000,381.8300000
US1.NFLX,D,20190705,000000,379.8800000
US1.NFLX,D,20190708,000000,376.0900000
US1.NFLX,D,20190709,000000,379.8600000
US1.NFLX,D,20190710,000000,380.9200000
US1.NFLX,D,20190711,000000,379.4300000
US1.NFLX,D,20190712,000000,373.2600000
US1.NFLX,D,20190715,000000,366.5100000
US1.NFLX,D,20190716,000000,365.9000000
US1.NFLX,D,20190717,000000,362.7000000
US1.NFLX,D,20190718,000000,325.1400000
US1.NFLX,D,20190719,000000,314.9800000
US1.NFLX,D,20190722,000000,310.0900000
US1.NFLX,D,20190723,000000,307.2000000
US1.NFLX,D,20190724,000000,317.9100000
US1.NFLX,D,20190725,000000,326.4600000
US1.NFLX,D,20190726,000000,336.0000000
US1.NFLX,D,20190729,000000,332.6900000
US1.NFLX,D,20190730,000000,326.0000000
US1.NFLX,D,20190731,000000,323.0400000
US1.NFLX,D,20190801,000000,319.6400000
US1.NFLX,D,20190802,000000,319.1800000
US1.NFLX,D,20190805,000000,307.5600000
US1.NFLX,D,20190806,000000,310.1400000
US1.NFLX,D,20190807,000000,304.2200000
US1.NFLX,D,20190808,000000,315.6200000
US1.NFLX,D,20190809,000000,308.8900000
US1.NFLX,D,20190812,000000,310.9200000
US1.NFLX,D,20190813,000000,312.2700000
US1.NFLX,D,20190814,000000,298.9800000
US1.NFLX,D,20190815,000000,295.9300000
US1.NFLX,D,20190816,000000,302.8000000
US1.NFLX,D,20190819,000000,309.4000000
US1.NFLX,D,20190820,000000,298.9800000
US1.NFLX,D,20190821,000000,297.8400000
US1.NFLX,D,20190822,000000,296.9300000
US1.NFLX,D,20190823,000000,291.5700000
US1.NFLX,D,20190826,000000,295.0800000
US1.NFLX,D,20190827,000000,291.0900000
US1.NFLX,D,20190828,000000,291.9100000
US1.NFLX,D,20190829,000000,296.8500000
US1.NFLX,D,20190830,000000,293.8900000
US1.NFLX,D,20190903,000000,289.2200000
US1.NFLX,D,20190904,000000,291.5000000
US1.NFLX,D,20190905,000000,293.2000000
US1.NFLX,D,20190906,000000,290.2000000
US1.NFLX,D,20190909,000000,294.6100000
US1.NFLX,D,20190910,000000,288.1800000
US1.NFLX,D,20190911,000000,288.2400000
US1.NFLX,D,20190912,000000,288.8800000
US1.NFLX,D,20190913,000000,294.0000000
US1.NFLX,D,20190916,000000,294.2900000
US1.NFLX,D,20190917,000000,298.5300000
US1.NFLX,D,20190918,000000,291.5200000
US1.NFLX,D,20190919,000000,286.5800000
US1.NFLX,D,20190920,000000,270.5500000
US1.NFLX,D,20190923,000000,266.0000000
US1.NFLX,D,20190924,000000,254.5800000
US1.NFLX,D,20190925,000000,264.7500000
US1.NFLX,D,20190926,000000,263.4300000
US1.NFLX,D,20190927,000000,263.0900000
US1.NFLX,D,20190930,000000,267.6500000
US1.NFLX,D,20191001,000000,269.5500000
US1.NFLX,D,20191002,000000,268.1100000
US1.NFLX,D,20191003,000000,268.3700000
US1.NFLX,D,20191004,000000,272.7600000
US1.NFLX,D,20191007,000000,274.4300000
US1.NFLX,D,20191008,000000,270.7700000
US1.NFLX,D,20191009,000000,267.4400000
US1.NFLX,D,20191010,000000,280.5100000
US1.NFLX,D,20191011,000000,282.8000000
US1.NFLX,D,20191014,000000,285.4900000
US1.NFLX,D,20191015,000000,284.2400000
US1.NFLX,D,20191016,000000,286.7500000
US1.NFLX,D,20191017,000000,293.2800000
US1.NFLX,D,20191018,000000,275.2500000
US1.NFLX,D,20191021,000000,277.9500000
US1.NFLX,D,20191022,000000,266.6600000
US1.NFLX,D,20191023,000000,271.2900000
US1.NFLX,D,20191024,000000,271.4200000
US1.NFLX,D,20191025,000000,276.8300000
US1.NFLX,D,20191028,000000,281.9000000
US1.NFLX,D,20191029,000000,281.1700000
US1.NFLX,D,20191030,000000,291.4800000
US1.NFLX,D,20191031,000000,287.2200000
US1.NFLX,D,20191101,000000,286.9750000
US1.NFLX,D,20191104,000000,292.7900000
US1.NFLX,D,20191105,000000,288.0300000
US1.NFLX,D,20191106,000000,288.5900000
US1.NFLX,D,20191107,000000,289.6800000
US1.NFLX,D,20191108,000000,291.5500000
US1.NFLX,D,20191111,000000,294.1800000
US1.NFLX,D,20191112,000000,291.9300000
US1.NFLX,D,20191113,000000,283.1300000
US1.NFLX,D,20191114,000000,289.7600000
US1.NFLX,D,20191115,000000,295.0100000
US1.NFLX,D,20191118,000000,302.6200000
US1.NFLX,D,20191119,000000,302.6400000
US1.NFLX,D,20191120,000000,305.2700000
US1.NFLX,D,20191121,000000,311.7300000
US1.NFLX,D,20191122,000000,310.5500000
US1.NFLX,D,20191125,000000,315.6100000
US1.NFLX,D,20191126,000000,313.2200000
US1.NFLX,D,20191127,000000,315.9500000
US1.NFLX,D,20191129,000000,314.7400000
US1.NFLX,D,20191202,000000,310.2200000
US1.NFLX,D,20191203,000000,306.0800000
US1.NFLX,D,20191204,000000,304.4200000
US1.NFLX,D,20191205,000000,302.8600000
US1.NFLX,D,20191206,000000,307.2500000
US1.NFLX,D,20191209,000000,302.5000000
US1.NFLX,D,20191210,000000,292.9500000
US1.NFLX,D,20191211,000000,298.9000000
US1.NFLX,D,20191213,000000,298.5100000
US1.NFLX,D,20191216,000000,304.1400000
