<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.PEP,D,20190131,000000,112.6700000
US1.PEP,D,20190228,000000,115.5900000
US1.PEP,D,20190424,000000,126.9300000
US1.PEP,D,20190425,000000,126.1500000
US1.PEP,D,20190426,000000,126.3900000
US1.PEP,D,20190429,000000,126.7000000
US1.PEP,D,20190430,000000,128.1100000
US1.PEP,D,20190501,000000,127.2100000
US1.PEP,D,20190502,000000,126.8400000
US1.PEP,D,20190503,000000,127.6600000
US1.PEP,D,20190506,000000,127.2700000
US1.PEP,D,20190507,000000,125.9400000
US1.PEP,D,20190508,000000,126.0400000
US1.PEP,D,20190509,000000,126.0500000
US1.PEP,D,20190510,000000,128.0100000
US1.PEP,D,20190513,000000,127.1600000
US1.PEP,D,20190514,000000,127.4100000
US1.PEP,D,20190515,000000,129.2800000
US1.PEP,D,20190516,000000,130.2700000
US1.PEP,D,20190517,000000,130.5100000
US1.PEP,D,20190520,000000,129.9900000
US1.PEP,D,20190521,000000,129.0400000
US1.PEP,D,20190522,000000,130.0400000
US1.PEP,D,20190523,000000,129.9600000
US1.PEP,D,20190524,000000,129.4800000
US1.PEP,D,20190528,000000,127.6600000
US1.PEP,D,20190529,000000,128.2500000
US1.PEP,D,20190530,000000,128.5600000
US1.PEP,D,20190531,000000,128.0600000
US1.PEP,D,20190603,000000,128.9300000
US1.PEP,D,20190604,000000,129.1100000
US1.PEP,D,20190605,000000,131.2700000
US1.PEP,D,20190606,000000,132.0000000
US1.PEP,D,20190607,000000,133.4500000
US1.PEP,D,20190610,000000,133.5700000
US1.PEP,D,20190611,000000,133.2000000
US1.PEP,D,20190612,000000,133.1500000
US1.PEP,D,20190613,000000,132.9200000
US1.PEP,D,20190614,000000,132.7100000
US1.PEP,D,20190617,000000,132.5200000
US1.PEP,D,20190618,000000,132.0800000
US1.PEP,D,20190619,000000,132.8200000
US1.PEP,D,20190620,000000,134.1900000
US1.PEP,D,20190621,000000,133.9800000
US1.PEP,D,20190624,000000,134.0900000
US1.PEP,D,20190625,000000,133.8000000
US1.PEP,D,20190626,000000,132.3200000
US1.PEP,D,20190627,000000,131.6900000
US1.PEP,D,20190628,000000,131.0700000
US1.PEP,D,20190701,000000,131.8400000
US1.PEP,D,20190702,000000,132.4000000
US1.PEP,D,20190703,000000,133.9300000
US1.PEP,D,20190705,000000,133.0000000
US1.PEP,D,20190708,000000,132.4800000
US1.PEP,D,20190709,000000,131.7400000
US1.PEP,D,20190710,000000,134.4100000
US1.PEP,D,20190711,000000,134.3500000
US1.PEP,D,20190712,000000,133.3000000
US1.PEP,D,20190715,000000,134.1300000
US1.PEP,D,20190716,000000,133.8200000
US1.PEP,D,20190717,000000,132.7800000
US1.PEP,D,20190718,000000,132.8600000
US1.PEP,D,20190719,000000,130.1300000
US1.PEP,D,20190722,000000,130.2500000
US1.PEP,D,20190723,000000,130.6800000
US1.PEP,D,20190724,000000,129.1800000
US1.PEP,D,20190725,000000,129.0000000
US1.PEP,D,20190726,000000,131.2500000
US1.PEP,D,20190729,000000,131.5000000
US1.PEP,D,20190730,000000,130.4800000
US1.PEP,D,20190731,000000,127.8300000
US1.PEP,D,20190801,000000,127.1200000
US1.PEP,D,20190802,000000,127.9300000
US1.PEP,D,20190805,000000,124.3000000
US1.PEP,D,20190806,000000,126.4300000
US1.PEP,D,20190807,000000,127.7500000
US1.PEP,D,20190808,000000,129.3500000
US1.PEP,D,20190809,000000,128.6200000
US1.PEP,D,20190812,000000,128.3700000
US1.PEP,D,20190813,000000,129.9600000
US1.PEP,D,20190814,000000,129.0900000
US1.PEP,D,20190815,000000,130.6800000
US1.PEP,D,20190816,000000,131.7600000
US1.PEP,D,20190819,000000,132.5600000
US1.PEP,D,20190820,000000,132.0800000
US1.PEP,D,20190821,000000,132.3500000
US1.PEP,D,20190822,000000,132.6500000
US1.PEP,D,20190823,000000,130.4300000
US1.PEP,D,20190826,000000,133.7400000
US1.PEP,D,20190827,000000,134.7300000
