<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.SBUX,D,20160330,000000,60.0400000
US1.SBUX,D,20171025,000000,54.1600000
US1.SBUX,D,20171026,000000,54.9100000
US1.SBUX,D,20171027,000000,54.8800000
US1.SBUX,D,20171030,000000,55.1700000
US1.SBUX,D,20171031,000000,54.8600000
US1.SBUX,D,20171101,000000,55.1300000
US1.SBUX,D,20171102,000000,54.8300000
US1.SBUX,D,20171103,000000,56.0300000
US1.SBUX,D,20171106,000000,56.5800000
US1.SBUX,D,20171107,000000,57.2200000
US1.SBUX,D,20171108,000000,58.0000000
US1.SBUX,D,20171109,000000,57.3500000
US1.SBUX,D,20171110,000000,57.0300000
US1.SBUX,D,20171113,000000,56.6300000
US1.SBUX,D,20171114,000000,56.9400000
US1.SBUX,D,20171115,000000,56.7000000
US1.SBUX,D,20171116,000000,57.2500000
US1.SBUX,D,20171117,000000,56.9200000
US1.SBUX,D,20171120,000000,56.8100000
US1.SBUX,D,20171121,000000,57.2500000
US1.SBUX,D,20171122,000000,57.1400000
US1.SBUX,D,20171124,000000,56.7900000
US1.SBUX,D,20171127,000000,55.9000000
US1.SBUX,D,20171128,000000,56.6600000
US1.SBUX,D,20171129,000000,57.5100000
US1.SBUX,D,20171130,000000,57.8100000
US1.SBUX,D,20171201,000000,57.3100000
US1.SBUX,D,20171204,000000,58.7700000
US1.SBUX,D,20171205,000000,59.3500000
US1.SBUX,D,20171206,000000,59.2900000
US1.SBUX,D,20171207,000000,59.1500000
US1.SBUX,D,20171208,000000,58.6050000
US1.SBUX,D,20171211,000000,59.0500000
US1.SBUX,D,20171212,000000,59.2800000
US1.SBUX,D,20171213,000000,59.5000000
US1.SBUX,D,20171214,000000,59.7600000
US1.SBUX,D,20171215,000000,58.2400000
US1.SBUX,D,20171218,000000,58.0500000
US1.SBUX,D,20171219,000000,58.0200000
US1.SBUX,D,20171220,000000,57.7300000
US1.SBUX,D,20171221,000000,57.5700000
US1.SBUX,D,20171222,000000,57.2900000
US1.SBUX,D,20171226,000000,57.1400000
US1.SBUX,D,20171227,000000,57.2800000
US1.SBUX,D,20171228,000000,57.8100000
US1.SBUX,D,20171229,000000,57.4300000
US1.SBUX,D,20180102,000000,57.6100000
US1.SBUX,D,20180103,000000,58.7000000
US1.SBUX,D,20180104,000000,58.9400000
US1.SBUX,D,20180105,000000,59.5700000
