<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.SLV,D,20100101,000000,16.5300000
US1.SLV,D,20100104,000000,17.2300000
US1.SLV,D,20100105,000000,17.5100000
US1.SLV,D,20100106,000000,17.8600000
US1.SLV,D,20100107,000000,17.8801000
US1.SLV,D,20100108,000000,18.1494000
US1.SLV,D,20100109,000000,18.1494000
US1.SLV,D,20100111,000000,18.2100000
US1.SLV,D,20100112,000000,17.8800000
US1.SLV,D,20100113,000000,18.2700000
US1.SLV,D,20100114,000000,18.3200000
US1.SLV,D,20100115,000000,18.0600000
US1.SLV,D,20100116,000000,18.0600000
US1.SLV,D,20100119,000000,18.4500000
US1.SLV,D,20100120,000000,17.5600000
US1.SLV,D,20100121,000000,17.0700000
US1.SLV,D,20100122,000000,16.7600000
US1.SLV,D,20100123,000000,16.7600000
US1.SLV,D,20100125,000000,16.8300000
US1.SLV,D,20100126,000000,16.4300000
US1.SLV,D,20100127,000000,16.2600000
US1.SLV,D,20100128,000000,15.9100000
US1.SLV,D,20100129,000000,15.9000000
US1.SLV,D,20100130,000000,15.9000000
US1.SLV,D,20100201,000000,16.3500000
US1.SLV,D,20100202,000000,16.3500000
US1.SLV,D,20100203,000000,16.0600000
US1.SLV,D,20100204,000000,15.0400000
US1.SLV,D,20100205,000000,14.9099000
US1.SLV,D,20100206,000000,14.9099000
US1.SLV,D,20100208,000000,14.7400000
US1.SLV,D,20100209,000000,15.1200000
US1.SLV,D,20100210,000000,14.9588000
US1.SLV,D,20100211,000000,15.3800000
US1.SLV,D,20100212,000000,15.2300000
US1.SLV,D,20100213,000000,15.2300000
US1.SLV,D,20100216,000000,15.8200000
US1.SLV,D,20100217,000000,15.7300000
US1.SLV,D,20100218,000000,15.8800000
US1.SLV,D,20100219,000000,15.9900000
US1.SLV,D,20100220,000000,15.9900000
US1.SLV,D,20100222,000000,15.8800000
US1.SLV,D,20100223,000000,15.5600000
US1.SLV,D,20100224,000000,15.6200000
US1.SLV,D,20100225,000000,15.8000000
US1.SLV,D,20100226,000000,16.1200000
US1.SLV,D,20100301,000000,16.1100000
US1.SLV,D,20100302,000000,16.5800000
US1.SLV,D,20100303,000000,16.8220000
US1.SLV,D,20100304,000000,16.8000000
US1.SLV,D,20100305,000000,16.9900000
US1.SLV,D,20100308,000000,16.8900000
US1.SLV,D,20100309,000000,16.9300000
US1.SLV,D,20100310,000000,16.6500000
US1.SLV,D,20100311,000000,16.8100000
US1.SLV,D,20100312,000000,16.7700000
US1.SLV,D,20100315,000000,16.7300000
US1.SLV,D,20100316,000000,17.0500000
US1.SLV,D,20100317,000000,17.0800000
US1.SLV,D,20100318,000000,17.0700000
US1.SLV,D,20100319,000000,16.6700000
US1.SLV,D,20100322,000000,16.6000000
US1.SLV,D,20100323,000000,16.7200000
US1.SLV,D,20100324,000000,16.3000000
US1.SLV,D,20100325,000000,16.3000000
US1.SLV,D,20100326,000000,16.6100000
US1.SLV,D,20100329,000000,17.0200000
US1.SLV,D,20100330,000000,16.9680000
US1.SLV,D,20100331,000000,17.1400000
US1.SLV,D,20100401,000000,17.5400000
US1.SLV,D,20100405,000000,17.7500000
US1.SLV,D,20100406,000000,17.6100000
US1.SLV,D,20100407,000000,17.7700000
US1.SLV,D,20100408,000000,17.7200000
US1.SLV,D,20100409,000000,18.0000000
US1.SLV,D,20100412,000000,17.8000000
US1.SLV,D,20100413,000000,17.8500000
US1.SLV,D,20100414,000000,18.0600000
US1.SLV,D,20100415,000000,18.0600000
US1.SLV,D,20100416,000000,17.3900000
US1.SLV,D,20100419,000000,17.3900000
US1.SLV,D,20100420,000000,17.4900000
US1.SLV,D,20100421,000000,17.7600000
US1.SLV,D,20100422,000000,17.6500000
US1.SLV,D,20100423,000000,17.9100000
US1.SLV,D,20100426,000000,17.9300000
US1.SLV,D,20100427,000000,17.8500000
US1.SLV,D,20100428,000000,17.7500000
US1.SLV,D,20100429,000000,18.1200000
US1.SLV,D,20100430,000000,18.2600000
US1.SLV,D,20100503,000000,18.4100000
US1.SLV,D,20100504,000000,17.5900000
US1.SLV,D,20100505,000000,17.1100000
US1.SLV,D,20100506,000000,17.3101000
US1.SLV,D,20100507,000000,18.0000000
US1.SLV,D,20100510,000000,18.1100000
US1.SLV,D,20100511,000000,18.9400000
US1.SLV,D,20100512,000000,19.1400000
US1.SLV,D,20100513,000000,19.0100000
US1.SLV,D,20100514,000000,18.9200000
US1.SLV,D,20100517,000000,18.5000000
US1.SLV,D,20100518,000000,18.5700000
US1.SLV,D,20100519,000000,17.8700000
US1.SLV,D,20100520,000000,17.3500000
US1.SLV,D,20100521,000000,17.2900000
US1.SLV,D,20100524,000000,17.5600000
US1.SLV,D,20100525,000000,17.5400000
US1.SLV,D,20100526,000000,17.7400000
US1.SLV,D,20100527,000000,18.1200000
US1.SLV,D,20100528,000000,18.0300000
US1.SLV,D,20100601,000000,18.0100000
US1.SLV,D,20100602,000000,17.9780000
US1.SLV,D,20100603,000000,17.6400000
US1.SLV,D,20100604,000000,17.0500000
