<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.ZM,D,20190418,000000,62.4200000
US1.ZM,D,20190422,000000,65.6300000
US1.ZM,D,20190423,000000,69.0500000
US1.ZM,D,20190424,000000,63.2000000
US1.ZM,D,20190425,000000,65.0200000
US1.ZM,D,20190426,000000,66.2200000
US1.ZM,D,20190429,000000,67.8200000
US1.ZM,D,20190430,000000,72.4700000
US1.ZM,D,20190501,000000,72.5500000
US1.ZM,D,20190502,000000,75.5800000
US1.ZM,D,20190503,000000,79.1000000
US1.ZM,D,20190506,000000,78.1300000
US1.ZM,D,20190507,000000,73.3200000
US1.ZM,D,20190508,000000,77.7400000
US1.ZM,D,20190509,000000,75.2100000
US1.ZM,D,20190510,000000,79.4400000
US1.ZM,D,20190513,000000,72.5500000
US1.ZM,D,20190514,000000,73.1150000
US1.ZM,D,20190515,000000,79.5400000
US1.ZM,D,20190516,000000,83.2025000
US1.ZM,D,20190517,000000,89.8900000
US1.ZM,D,20190520,000000,84.6001000
US1.ZM,D,20190521,000000,85.3500000
US1.ZM,D,20190522,000000,82.4200000
US1.ZM,D,20190523,000000,78.7565000
US1.ZM,D,20190524,000000,76.0800000
US1.ZM,D,20190528,000000,77.6600000
US1.ZM,D,20190529,000000,75.8000000
US1.ZM,D,20190530,000000,80.4200000
US1.ZM,D,20190531,000000,79.7600000
US1.ZM,D,20190603,000000,75.7800000
US1.ZM,D,20190604,000000,78.6800000
US1.ZM,D,20190605,000000,77.9600000
US1.ZM,D,20190606,000000,79.4100000
US1.ZM,D,20190607,000000,94.0500000
US1.ZM,D,20190610,000000,102.1300000
US1.ZM,D,20190611,000000,94.7700000
US1.ZM,D,20190612,000000,102.7700000
US1.ZM,D,20190613,000000,100.8500000
US1.ZM,D,20190614,000000,100.2700000
US1.ZM,D,20190617,000000,98.1200000
US1.ZM,D,20190618,000000,99.6100000
US1.ZM,D,20190619,000000,102.3300000
US1.ZM,D,20190620,000000,102.2900000
US1.ZM,D,20190621,000000,100.4800000
US1.ZM,D,20190624,000000,89.4100000
US1.ZM,D,20190625,000000,85.0250000
US1.ZM,D,20190626,000000,86.3000000
US1.ZM,D,20190627,000000,90.2700000
US1.ZM,D,20190628,000000,88.7900000
US1.ZM,D,20190701,000000,86.8482000
US1.ZM,D,20190702,000000,85.1000000
US1.ZM,D,20190703,000000,90.4500000
US1.ZM,D,20190705,000000,91.8500000
US1.ZM,D,20190708,000000,90.7600000
US1.ZM,D,20190709,000000,90.9300000
US1.ZM,D,20190710,000000,92.5500000
US1.ZM,D,20190711,000000,91.4800000
US1.ZM,D,20190712,000000,93.3400000
US1.ZM,D,20190715,000000,99.7600000
US1.ZM,D,20190716,000000,97.0400000
US1.ZM,D,20190717,000000,99.7000000
US1.ZM,D,20190718,000000,95.1000000
US1.ZM,D,20190719,000000,93.3125000
US1.ZM,D,20190722,000000,96.8159000
US1.ZM,D,20190723,000000,97.3900000
US1.ZM,D,20190724,000000,95.9300000
US1.ZM,D,20190725,000000,97.3300000
US1.ZM,D,20190726,000000,102.0800000
US1.ZM,D,20190729,000000,96.4100000
US1.ZM,D,20190730,000000,95.4500000
US1.ZM,D,20190731,000000,95.5050000
US1.ZM,D,20190801,000000,95.3200000
US1.ZM,D,20190802,000000,93.6599000
US1.ZM,D,20190805,000000,89.5400000
US1.ZM,D,20190806,000000,90.3900000
US1.ZM,D,20190807,000000,92.4700000
US1.ZM,D,20190808,000000,95.7200000
US1.ZM,D,20190809,000000,94.1700000
US1.ZM,D,20190812,000000,92.2200000
US1.ZM,D,20190813,000000,95.4500000
US1.ZM,D,20190814,000000,92.5600000
US1.ZM,D,20190815,000000,90.6300000
US1.ZM,D,20190816,000000,92.5400000
US1.ZM,D,20190819,000000,93.1800000
US1.ZM,D,20190820,000000,91.4600000
US1.ZM,D,20190821,000000,93.0100000
US1.ZM,D,20190822,000000,93.8400000
US1.ZM,D,20190823,000000,91.5800000
US1.ZM,D,20190826,000000,91.8350000
US1.ZM,D,20190827,000000,91.6900000
US1.ZM,D,20190828,000000,90.1600000
US1.ZM,D,20190829,000000,90.8000000
US1.ZM,D,20190830,000000,91.8000000
US1.ZM,D,20190903,000000,92.4700000
US1.ZM,D,20190904,000000,93.5300000
US1.ZM,D,20190905,000000,92.5400000
US1.ZM,D,20190906,000000,85.3600000
US1.ZM,D,20190909,000000,78.8000000
US1.ZM,D,20190910,000000,80.3500000
US1.ZM,D,20190911,000000,80.7100000
US1.ZM,D,20190912,000000,81.3300000
US1.ZM,D,20190913,000000,78.9000000
US1.ZM,D,20190916,000000,80.6600000
US1.ZM,D,20190917,000000,84.7500000
US1.ZM,D,20190918,000000,84.5300000
US1.ZM,D,20190919,000000,84.6100000
US1.ZM,D,20190920,000000,82.6300000
US1.ZM,D,20190923,000000,82.5900000
US1.ZM,D,20190924,000000,79.9100000
