<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
comex.GC,D,20100101,000000,1096.2000000
comex.GC,D,20100104,000000,1120.9000000
comex.GC,D,20100105,000000,1119.8000000
comex.GC,D,20100106,000000,1138.4000000
comex.GC,D,20100107,000000,1131.5000000
comex.GC,D,20100108,000000,1136.5000000
comex.GC,D,20100109,000000,1138.9000000
comex.GC,D,20100111,000000,1152.6000000
comex.GC,D,20100112,000000,1127.4000000
comex.GC,D,20100113,000000,1138.3000000
comex.GC,D,20100114,000000,1143.8000000
comex.GC,D,20100115,000000,1131.3000000
comex.GC,D,20100116,000000,1130.5000000
comex.GC,D,20100118,000000,1133.4000000
comex.GC,D,20100119,000000,1138.7000000
comex.GC,D,20100120,000000,1111.7000000
comex.GC,D,20100121,000000,1095.4000000
comex.GC,D,20100122,000000,1093.6000000
comex.GC,D,20100123,000000,1089.7000000
comex.GC,D,20100125,000000,1098.6000000
comex.GC,D,20100126,000000,1098.3000000
comex.GC,D,20100127,000000,1088.1000000
comex.GC,D,20100128,000000,1087.4000000
comex.GC,D,20100129,000000,1082.9000000
comex.GC,D,20100130,000000,1083.8000000
comex.GC,D,20100201,000000,1106.7000000
comex.GC,D,20100202,000000,1114.7000000
comex.GC,D,20100203,000000,1110.0000000
comex.GC,D,20100204,000000,1066.3000000
comex.GC,D,20100205,000000,1068.1000000
comex.GC,D,20100206,000000,1052.8000000
comex.GC,D,20100208,000000,1062.8000000
comex.GC,D,20100209,000000,1076.9000000
comex.GC,D,20100210,000000,1073.5000000
comex.GC,D,20100211,000000,1094.3000000
comex.GC,D,20100212,000000,1092.9000000
comex.GC,D,20100213,000000,1090.0000000
comex.GC,D,20100215,000000,1101.2000000
comex.GC,D,20100216,000000,1119.1000000
comex.GC,D,20100217,000000,1115.3000000
comex.GC,D,20100218,000000,1123.1000000
comex.GC,D,20100219,000000,1117.7000000
comex.GC,D,20100220,000000,1122.1000000
comex.GC,D,20100221,000000,1124.8000000
comex.GC,D,20100222,000000,1117.5000000
comex.GC,D,20100223,000000,1106.8000000
comex.GC,D,20100224,000000,1091.0000000
comex.GC,D,20100225,000000,1109.7000000
comex.GC,D,20100226,000000,1118.9000000
comex.GC,D,20100228,000000,1118.6000000
comex.GC,D,20100301,000000,1116.9000000
comex.GC,D,20100302,000000,1134.6000000
comex.GC,D,20100303,000000,1137.0000000
comex.GC,D,20100304,000000,1135.6000000
comex.GC,D,20100305,000000,1135.2000000
comex.GC,D,20100307,000000,1135.4000000
comex.GC,D,20100308,000000,1121.9000000
comex.GC,D,20100309,000000,1126.3000000
comex.GC,D,20100310,000000,1108.7000000
comex.GC,D,20100311,000000,1112.3000000
comex.GC,D,20100312,000000,1101.7000000
comex.GC,D,20100314,000000,1104.7000000
comex.GC,D,20100315,000000,1112.8000000
comex.GC,D,20100316,000000,1127.9000000
comex.GC,D,20100317,000000,1123.1000000
comex.GC,D,20100318,000000,1123.6000000
comex.GC,D,20100319,000000,1107.6000000
comex.GC,D,20100321,000000,1108.2000000
comex.GC,D,20100322,000000,1105.6000000
comex.GC,D,20100323,000000,1103.7000000
comex.GC,D,20100324,000000,1088.8000000
comex.GC,D,20100325,000000,1094.7000000
comex.GC,D,20100326,000000,1104.3000000
comex.GC,D,20100328,000000,1106.4000000
comex.GC,D,20100329,000000,1109.8000000
comex.GC,D,20100330,000000,1107.0000000
comex.GC,D,20100331,000000,1113.3000000
comex.GC,D,20100401,000000,1126.1000000
comex.GC,D,20100404,000000,1126.6000000
comex.GC,D,20100405,000000,1128.7000000
comex.GC,D,20100406,000000,1138.9000000
comex.GC,D,20100407,000000,1146.9000000
comex.GC,D,20100408,000000,1152.9000000
comex.GC,D,20100409,000000,1161.9000000
comex.GC,D,20100411,000000,1166.8000000
comex.GC,D,20100412,000000,1152.0000000
comex.GC,D,20100413,000000,1156.3000000
comex.GC,D,20100414,000000,1156.4000000
comex.GC,D,20100415,000000,1154.9000000
comex.GC,D,20100416,000000,1136.9000000
comex.GC,D,20100418,000000,1135.7000000
comex.GC,D,20100419,000000,1138.0000000
comex.GC,D,20100420,000000,1142.5000000
comex.GC,D,20100421,000000,1147.0000000
comex.GC,D,20100422,000000,1140.6000000
comex.GC,D,20100423,000000,1153.7000000
comex.GC,D,20100425,000000,1159.6000000
comex.GC,D,20100426,000000,1155.5000000
comex.GC,D,20100427,000000,1164.9000000
comex.GC,D,20100428,000000,1166.2000000
comex.GC,D,20100429,000000,1173.0000000
comex.GC,D,20100430,000000,1180.7000000
comex.GC,D,20100503,000000,1181.5000000
comex.GC,D,20100504,000000,1168.5000000
comex.GC,D,20100505,000000,1176.6000000
comex.GC,D,20100506,000000,1199.6000000
comex.GC,D,20100507,000000,1210.4000000
comex.GC,D,20100509,000000,1201.0000000
comex.GC,D,20100510,000000,1205.1000000
comex.GC,D,20100511,000000,1234.9000000
comex.GC,D,20100512,000000,1238.7000000
comex.GC,D,20100513,000000,1236.6000000
comex.GC,D,20100514,000000,1232.8000000
comex.GC,D,20100516,000000,1239.4000000
comex.GC,D,20100517,000000,1226.2000000
comex.GC,D,20100518,000000,1207.3000000
comex.GC,D,20100519,000000,1197.2000000
comex.GC,D,20100520,000000,1175.5000000
comex.GC,D,20100521,000000,1177.1000000
comex.GC,D,20100523,000000,1186.4000000
comex.GC,D,20100524,000000,1192.1000000
comex.GC,D,20100525,000000,1205.9000000
comex.GC,D,20100526,000000,1217.8000000
comex.GC,D,20100527,000000,1210.1000000
comex.GC,D,20100528,000000,1212.2000000
comex.GC,D,20100530,000000,1214.5000000
comex.GC,D,20100531,000000,1217.1000000
comex.GC,D,20100601,000000,1226.7000000
comex.GC,D,20100602,000000,1223.8000000
comex.GC,D,20100603,000000,1207.8000000
comex.GC,D,20100604,000000,1217.7000000
comex.GC,D,20100606,000000,1220.2000000
comex.GC,D,20100607,000000,1239.5000000
comex.GC,D,20100608,000000,1239.7000000
comex.GC,D,20100609,000000,1232.5000000
comex.GC,D,20100610,000000,1219.6000000
comex.GC,D,20100611,000000,1230.2000000
comex.GC,D,20100613,000000,1232.1000000
comex.GC,D,20100614,000000,1223.0000000
comex.GC,D,20100615,000000,1235.0000000
comex.GC,D,20100616,000000,1235.7000000
comex.GC,D,20100617,000000,1246.2000000
comex.GC,D,20100618,000000,1258.3000000
comex.GC,D,20100620,000000,1260.6000000
comex.GC,D,20100621,000000,1239.3000000
comex.GC,D,20100622,000000,1240.4000000
comex.GC,D,20100623,000000,1237.4000000
comex.GC,D,20100624,000000,1243.8000000
comex.GC,D,20100625,000000,1256.2000000
comex.GC,D,20100627,000000,1256.7000000
comex.GC,D,20100628,000000,1240.7000000
comex.GC,D,20100629,000000,1242.7000000
comex.GC,D,20100630,000000,1241.0000000
comex.GC,D,20100701,000000,1208.3000000
comex.GC,D,20100702,000000,1207.7000000
comex.GC,D,20100705,000000,1209.5000000
comex.GC,D,20100706,000000,1189.3000000
comex.GC,D,20100707,000000,1204.3000000
comex.GC,D,20100708,000000,1197.0000000
comex.GC,D,20100709,000000,1209.8000000
comex.GC,D,20100711,000000,1209.1000000
comex.GC,D,20100712,000000,1198.8000000
comex.GC,D,20100713,000000,1211.3000000
comex.GC,D,20100714,000000,1211.5000000
comex.GC,D,20100715,000000,1207.0000000
comex.GC,D,20100716,000000,1188.2000000
comex.GC,D,20100718,000000,1192.4000000
comex.GC,D,20100719,000000,1183.5000000
comex.GC,D,20100720,000000,1189.0000000
comex.GC,D,20100721,000000,1185.8000000
comex.GC,D,20100722,000000,1195.0000000
comex.GC,D,20100723,000000,1187.8000000
comex.GC,D,20100725,000000,1192.6000000
comex.GC,D,20100726,000000,1184.5000000
comex.GC,D,20100727,000000,1162.1000000
comex.GC,D,20100728,000000,1165.5000000
comex.GC,D,20100729,000000,1168.0000000
comex.GC,D,20100730,000000,1183.9000000
comex.GC,D,20100801,000000,1185.5000000
comex.GC,D,20100802,000000,1184.2000000
comex.GC,D,20100803,000000,1194.4000000
comex.GC,D,20100804,000000,1195.9000000
comex.GC,D,20100805,000000,1198.2000000
comex.GC,D,20100806,000000,1205.3000000
comex.GC,D,20100808,000000,1207.5000000
comex.GC,D,20100809,000000,1202.5000000
comex.GC,D,20100810,000000,1204.2000000
comex.GC,D,20100811,000000,1201.2000000
comex.GC,D,20100812,000000,1217.4000000
comex.GC,D,20100813,000000,1216.6000000
comex.GC,D,20100815,000000,1220.3000000
comex.GC,D,20100816,000000,1226.2000000
comex.GC,D,20100817,000000,1227.2000000
comex.GC,D,20100818,000000,1231.1000000
comex.GC,D,20100819,000000,1234.1000000
comex.GC,D,20100820,000000,1228.8000000
comex.GC,D,20100822,000000,1231.9000000
comex.GC,D,20100823,000000,1223.1000000
comex.GC,D,20100824,000000,1233.3000000
comex.GC,D,20100825,000000,1242.2000000
comex.GC,D,20100826,000000,1238.9000000
comex.GC,D,20100827,000000,1237.9000000
comex.GC,D,20100829,000000,1238.1000000
comex.GC,D,20100830,000000,1237.8000000
comex.GC,D,20100831,000000,1249.8000000
comex.GC,D,20100901,000000,1249.0000000
comex.GC,D,20100902,000000,1253.1000000
comex.GC,D,20100903,000000,1251.1000000
comex.GC,D,20100905,000000,1250.1000000
comex.GC,D,20100906,000000,1251.1000000
comex.GC,D,20100907,000000,1259.3000000
