<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.BA;D;20070124;000000;87.0000000
US1.BA;D;20070125;000000;87.0600000
US1.BA;D;20070129;000000;85.1100000
US1.BA;D;20070130;000000;86.1700000
US1.BA;D;20070201;000000;91.4100000
US1.BA;D;20070202;000000;90.5700000
US1.BA;D;20070321;000000;89.9500000
US1.BA;D;20070326;000000;90.0100000
US1.BA;D;20070403;000000;89.9100000
US1.BA;D;20070404;000000;90.2500000
US1.BA;D;20070405;000000;90.4300000
US1.BA;D;20070406;000000;90.5000000
US1.BA;D;20070409;000000;90.0800000
US1.BA;D;20070410;000000;90.8400000
US1.BA;D;20070411;000000;90.0400000
US1.BA;D;20070412;000000;90.8100000
US1.BA;D;20070413;000000;90.3500000
US1.BA;D;20070416;000000;90.7500000
US1.BA;D;20070417;000000;90.5100000
US1.BA;D;20070418;000000;93.8700000
US1.BA;D;20070419;000000;93.1700000
US1.BA;D;20070420;000000;93.2400000
US1.BA;D;20070421;000000;93.2900000
US1.BA;D;20070424;000000;93.6100000
US1.BA;D;20070425;000000;94.5300000
US1.BA;D;20070426;000000;94.1600000
US1.BA;D;20070427;000000;93.9500000
US1.BA;D;20070428;000000;94.0200000
US1.BA;D;20070705;000000;98.3100000
US1.BA;D;20070706;000000;98.3600000
US1.BA;D;20070719;000000;102.4000000
US1.BA;D;20070720;000000;102.4800000
US1.BA;D;20070731;000000;103.6000000
US1.BA;D;20070801;000000;104.6700000
US1.BA;D;20070802;000000;105.8300000
US1.BA;D;20070803;000000;104.2300000
US1.BA;D;20070804;000000;104.2400000
US1.BA;D;20070920;000000;101.2900000
US1.BA;D;20070921;000000;102.6100000
US1.BA;D;20070922;000000;102.5900000
US1.BA;D;20070924;000000;103.0900000
US1.BA;D;20070925;000000;105.0000000
US1.BA;D;20070926;000000;104.3500000
US1.BA;D;20070927;000000;105.5605000
US1.BA;D;20070928;000000;104.9800000
US1.BA;D;20070929;000000;104.9900000
US1.BA;D;20071001;000000;106.9600000
US1.BA;D;20071002;000000;105.8000000
US1.BA;D;20071003;000000;104.7000000
US1.BA;D;20071004;000000;104.5000000
US1.BA;D;20071005;000000;102.2500000
US1.BA;D;20071006;000000;102.2500000
US1.BA;D;20071008;000000;100.9500000
US1.BA;D;20071009;000000;101.3900000
US1.BA;D;20071010;000000;98.6100000
US1.BA;D;20071011;000000;96.1000000
US1.BA;D;20071012;000000;96.6900000
US1.BA;D;20071013;000000;96.6900000
US1.BA;D;20071015;000000;94.8200000
US1.BA;D;20071016;000000;96.0000000
US1.BA;D;20071017;000000;95.5400000
US1.BA;D;20071018;000000;96.8700000
US1.BA;D;20071019;000000;93.8400000
US1.BA;D;20071020;000000;93.9000000
US1.BA;D;20071022;000000;94.9600000
US1.BA;D;20071023;000000;94.9200000
US1.BA;D;20071024;000000;94.2700000
US1.BA;D;20071025;000000;96.0600000
US1.BA;D;20071026;000000;96.0000000
US1.BA;D;20071027;000000;96.0200000
US1.BA;D;20071029;000000;96.9900000
US1.BA;D;20071030;000000;97.3300000
US1.BA;D;20071031;000000;98.5900000
US1.BA;D;20071101;000000;96.6000000
US1.BA;D;20071102;000000;97.7600000
US1.BA;D;20071105;000000;98.0000000
US1.BA;D;20071106;000000;97.7400000
US1.BA;D;20071107;000000;96.8200000
US1.BA;D;20071108;000000;96.1300000
US1.BA;D;20071109;000000;94.0800000
US1.BA;D;20071110;000000;94.2100000
US1.BA;D;20071112;000000;92.8000000
US1.BA;D;20071113;000000;93.7100000
US1.BA;D;20071114;000000;92.5700000
US1.BA;D;20071115;000000;91.2500000
US1.BA;D;20071116;000000;89.9900000
US1.BA;D;20071117;000000;89.9900000
US1.BA;D;20071119;000000;88.3400000
US1.BA;D;20071120;000000;87.8200000
US1.BA;D;20071121;000000;87.3900000
US1.BA;D;20071122;000000;87.4100000
US1.BA;D;20071123;000000;89.5400000
US1.BA;D;20071126;000000;89.9100000
US1.BA;D;20071127;000000;91.7200000
US1.BA;D;20071128;000000;93.6800000
US1.BA;D;20071129;000000;93.1600000
US1.BA;D;20071130;000000;92.6000000
US1.BA;D;20071201;000000;92.5400000
US1.BA;D;20071203;000000;91.7400000
