<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.DIS;D;20070124;000000;35.4600000
US1.DIS;D;20070125;000000;35.2900000
US1.DIS;D;20070129;000000;34.7800000
US1.DIS;D;20070130;000000;34.8000000
US1.DIS;D;20070201;000000;34.9900000
US1.DIS;D;20070202;000000;35.2500000
US1.DIS;D;20070321;000000;34.4700000
US1.DIS;D;20070326;000000;35.0000000
US1.DIS;D;20070403;000000;34.8700000
US1.DIS;D;20070404;000000;34.6400000
US1.DIS;D;20070405;000000;34.9100000
US1.DIS;D;20070406;000000;34.9100000
US1.DIS;D;20070409;000000;34.9100000
US1.DIS;D;20070410;000000;34.9800000
US1.DIS;D;20070411;000000;34.9900000
US1.DIS;D;20070413;000000;34.6300000
US1.DIS;D;20070416;000000;34.9900000
US1.DIS;D;20070417;000000;35.1400000
US1.DIS;D;20070418;000000;34.9000000
US1.DIS;D;20070419;000000;34.9100000
US1.DIS;D;20070420;000000;35.2800000
US1.DIS;D;20070421;000000;35.2800000
US1.DIS;D;20070424;000000;34.9500000
US1.DIS;D;20070425;000000;35.3200000
US1.DIS;D;20070426;000000;35.1700000
US1.DIS;D;20070427;000000;34.9800000
US1.DIS;D;20070428;000000;34.9800000
US1.DIS;D;20070430;000000;34.9800000
US1.DIS;D;20070501;000000;35.5000000
US1.DIS;D;20070502;000000;35.7200000
US1.DIS;D;20070503;000000;35.7000000
US1.DIS;D;20070504;000000;35.8600000
US1.DIS;D;20070505;000000;35.8500000
US1.DIS;D;20070508;000000;36.5600000
US1.DIS;D;20070509;000000;36.1100000
US1.DIS;D;20070510;000000;35.7000000
US1.DIS;D;20070511;000000;35.8900000
US1.DIS;D;20070514;000000;36.1600000
US1.DIS;D;20070515;000000;35.9700000
US1.DIS;D;20070516;000000;36.0100000
US1.DIS;D;20070517;000000;35.9700000
US1.DIS;D;20070518;000000;36.0300000
US1.DIS;D;20070519;000000;36.0200000
US1.DIS;D;20070523;000000;36.4700000
US1.DIS;D;20070524;000000;36.4800000
US1.DIS;D;20070601;000000;35.2500000
US1.DIS;D;20070602;000000;35.2400000
US1.DIS;D;20070607;000000;34.2700000
US1.DIS;D;20070608;000000;34.2200000
US1.DIS;D;20070609;000000;34.2000000
US1.DIS;D;20070611;000000;34.1500000
US1.DIS;D;20070612;000000;33.5600000
US1.DIS;D;20070613;000000;33.3900000
US1.DIS;D;20070614;000000;33.8100000
US1.DIS;D;20070615;000000;34.4500000
US1.DIS;D;20070616;000000;34.4000000
US1.DIS;D;20070621;000000;34.2100000
US1.DIS;D;20070622;000000;34.1500000
US1.DIS;D;20070623;000000;34.1400000
US1.DIS;D;20070625;000000;34.0700000
US1.DIS;D;20070626;000000;34.0600000
US1.DIS;D;20070705;000000;34.6300000
US1.DIS;D;20070706;000000;34.6300000
US1.DIS;D;20070719;000000;34.4700000
US1.DIS;D;20070720;000000;34.4700000
US1.DIS;D;20070731;000000;32.9900000
US1.DIS;D;20070801;000000;33.8900000
US1.DIS;D;20070802;000000;34.3600000
US1.DIS;D;20070803;000000;33.9200000
US1.DIS;D;20070804;000000;33.9000000
US1.DIS;D;20070920;000000;34.0200000
US1.DIS;D;20070921;000000;34.5400000
US1.DIS;D;20070922;000000;34.6000000
US1.DIS;D;20070924;000000;34.2900000
US1.DIS;D;20070925;000000;34.1100000
US1.DIS;D;20070926;000000;34.5100000
US1.DIS;D;20070927;000000;34.2100000
US1.DIS;D;20070928;000000;34.4100000
US1.DIS;D;20070929;000000;34.3900000
US1.DIS;D;20071001;000000;34.6300000
US1.DIS;D;20071002;000000;34.7400000
US1.DIS;D;20071003;000000;34.7500000
US1.DIS;D;20071004;000000;34.9200000
US1.DIS;D;20071005;000000;35.4900000
US1.DIS;D;20071006;000000;35.4700000
US1.DIS;D;20071008;000000;35.2500000
US1.DIS;D;20071009;000000;35.4200000
US1.DIS;D;20071010;000000;35.2800000
US1.DIS;D;20071011;000000;35.0200000
US1.DIS;D;20071012;000000;35.4500000
US1.DIS;D;20071013;000000;35.4700000
US1.DIS;D;20071015;000000;35.1500000
US1.DIS;D;20071016;000000;35.0400000
US1.DIS;D;20071017;000000;35.4000000
US1.DIS;D;20071018;000000;34.8000000
US1.DIS;D;20071019;000000;33.7800000
US1.DIS;D;20071020;000000;33.8100000
US1.DIS;D;20071022;000000;34.6600000
US1.DIS;D;20071023;000000;34.8900000
US1.DIS;D;20071024;000000;35.0700000
US1.DIS;D;20071025;000000;34.4200000
US1.DIS;D;20071026;000000;34.3800000
US1.DIS;D;20071027;000000;34.3800000
US1.DIS;D;20071029;000000;34.6800000
US1.DIS;D;20071030;000000;34.2900000
US1.DIS;D;20071031;000000;34.6300000
US1.DIS;D;20071101;000000;33.8000000
US1.DIS;D;20071102;000000;33.9200000
US1.DIS;D;20071105;000000;33.9100000
US1.DIS;D;20071106;000000;34.0600000
US1.DIS;D;20071107;000000;33.4700000
US1.DIS;D;20071108;000000;33.5800000
US1.DIS;D;20071109;000000;32.7300000
US1.DIS;D;20071110;000000;32.7400000
US1.DIS;D;20071112;000000;32.0400000
US1.DIS;D;20071113;000000;32.9800000
US1.DIS;D;20071114;000000;31.8100000
US1.DIS;D;20071115;000000;32.4300000
US1.DIS;D;20071116;000000;32.5000000
US1.DIS;D;20071117;000000;32.5300000
US1.DIS;D;20071119;000000;31.2500000
US1.DIS;D;20071120;000000;31.5600000
US1.DIS;D;20071121;000000;31.5200000
US1.DIS;D;20071122;000000;31.5000000
US1.DIS;D;20071123;000000;31.8400000
US1.DIS;D;20071126;000000;31.2500000
US1.DIS;D;20071127;000000;31.7100000
US1.DIS;D;20071128;000000;32.6900000
US1.DIS;D;20071129;000000;32.7500000
US1.DIS;D;20071130;000000;33.1900000
US1.DIS;D;20071201;000000;33.1500000
US1.DIS;D;20071203;000000;33.0500000
US1.DIS;D;20071204;000000;32.7400000
US1.DIS;D;20071205;000000;32.7500000
US1.DIS;D;20071206;000000;32.7400000
US1.DIS;D;20071207;000000;32.7900000
US1.DIS;D;20071208;000000;32.7900000
US1.DIS;D;20071210;000000;32.3500000
US1.DIS;D;20071211;000000;31.7700000
US1.DIS;D;20071212;000000;32.2900000
US1.DIS;D;20071213;000000;32.7500000
US1.DIS;D;20071214;000000;33.0100000
US1.DIS;D;20071215;000000;33.0100000
US1.DIS;D;20071217;000000;33.0100000
US1.DIS;D;20071218;000000;32.9800000
US1.DIS;D;20071219;000000;32.2300000
US1.DIS;D;20071220;000000;32.3600000
US1.DIS;D;20071221;000000;32.9700000
US1.DIS;D;20071222;000000;32.9400000
US1.DIS;D;20071224;000000;33.2400000
US1.DIS;D;20071226;000000;32.8100000
US1.DIS;D;20071227;000000;32.4400000
US1.DIS;D;20071228;000000;32.3900000
US1.DIS;D;20071229;000000;32.4200000
US1.DIS;D;20071231;000000;32.2400000
US1.DIS;D;20080101;000000;32.2800000
US1.DIS;D;20080102;000000;31.8200000
US1.DIS;D;20080103;000000;31.7800000
US1.DIS;D;20080104;000000;31.1700000
US1.DIS;D;20080105;000000;31.1300000
US1.DIS;D;20080107;000000;31.1500000
US1.DIS;D;20080109;000000;30.1200000
US1.DIS;D;20080110;000000;30.6900000
US1.DIS;D;20080111;000000;30.3300000
US1.DIS;D;20080112;000000;30.3200000
US1.DIS;D;20080114;000000;30.3500000
US1.DIS;D;20080115;000000;29.8500000
US1.DIS;D;20080116;000000;29.8100000
US1.DIS;D;20080117;000000;28.8000000
US1.DIS;D;20080118;000000;28.5300000
US1.DIS;D;20080119;000000;28.5100000
US1.DIS;D;20080122;000000;28.0900000
US1.DIS;D;20080123;000000;28.5100000
US1.DIS;D;20080124;000000;29.2000000
US1.DIS;D;20080125;000000;28.7100000
US1.DIS;D;20080126;000000;28.6800000
US1.DIS;D;20080128;000000;29.3500000
US1.DIS;D;20080129;000000;28.7801000
US1.DIS;D;20080130;000000;29.3900000
US1.DIS;D;20080131;000000;29.8800000
US1.DIS;D;20080201;000000;30.6300000
US1.DIS;D;20080202;000000;30.6600000
US1.DIS;D;20080204;000000;30.9000000
US1.DIS;D;20080205;000000;30.1500000
US1.DIS;D;20080206;000000;31.4900000
US1.DIS;D;20080207;000000;31.6900000
US1.DIS;D;20080208;000000;32.1200000
US1.DIS;D;20080209;000000;32.1200000
US1.DIS;D;20080211;000000;31.9000000
US1.DIS;D;20080212;000000;32.0300000
US1.DIS;D;20080213;000000;32.8000000
US1.DIS;D;20080214;000000;32.3200000
US1.DIS;D;20080215;000000;32.5300000
US1.DIS;D;20080216;000000;32.4900000
US1.DIS;D;20080219;000000;32.2300000
US1.DIS;D;20080220;000000;32.6000000
US1.DIS;D;20080221;000000;32.2700000
US1.DIS;D;20080222;000000;32.6100000
