<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.T;D;20070926;000000;42.8300000
US1.T;D;20070927;000000;42.7400000
US1.T;D;20070928;000000;42.3300000
US1.T;D;20070929;000000;42.3100000
US1.T;D;20071001;000000;42.1900000
US1.T;D;20071002;000000;42.4200000
US1.T;D;20071003;000000;41.9000000
US1.T;D;20071004;000000;41.9700000
US1.T;D;20071005;000000;42.1300000
US1.T;D;20071006;000000;42.1400000
US1.T;D;20071008;000000;41.9000000
US1.T;D;20071009;000000;41.9800000
US1.T;D;20071010;000000;41.7400000
US1.T;D;20071011;000000;41.6200000
US1.T;D;20071012;000000;42.2922000
US1.T;D;20071013;000000;42.2900000
US1.T;D;20071015;000000;42.1500000
US1.T;D;20071016;000000;41.8300000
US1.T;D;20071017;000000;41.9100000
US1.T;D;20071018;000000;41.7900000
US1.T;D;20071019;000000;41.3000000
US1.T;D;20071020;000000;41.3700000
US1.T;D;20071022;000000;41.2200000
US1.T;D;20071023;000000;42.0700000
US1.T;D;20071024;000000;41.5300000
US1.T;D;20071025;000000;40.9700000
US1.T;D;20071026;000000;41.5000000
US1.T;D;20071027;000000;41.4600000
US1.T;D;20071029;000000;41.7400000
US1.T;D;20071030;000000;41.4100000
US1.T;D;20071031;000000;41.7900000
US1.T;D;20071101;000000;40.4600000
US1.T;D;20071102;000000;40.4200000
US1.T;D;20071105;000000;40.0500000
US1.T;D;20071106;000000;40.0300000
US1.T;D;20071107;000000;38.6100000
US1.T;D;20071108;000000;39.3400000
US1.T;D;20071109;000000;39.1600000
US1.T;D;20071110;000000;39.2000000
US1.T;D;20071112;000000;38.6400000
US1.T;D;20071113;000000;39.8900000
US1.T;D;20071114;000000;39.2800000
US1.T;D;20071115;000000;39.3800000
US1.T;D;20071116;000000;39.5000000
US1.T;D;20071117;000000;39.5500000
US1.T;D;20071119;000000;37.7800000
US1.T;D;20071120;000000;38.0200000
US1.T;D;20071121;000000;37.4500000
US1.T;D;20071122;000000;37.4500000
US1.T;D;20071123;000000;37.6300000
US1.T;D;20071126;000000;36.2500000
US1.T;D;20071127;000000;36.7600000
US1.T;D;20071128;000000;37.5500000
US1.T;D;20071129;000000;38.0400000
US1.T;D;20071130;000000;38.2200000
US1.T;D;20071201;000000;38.2100000
US1.T;D;20071203;000000;38.3400000
US1.T;D;20071204;000000;37.8800000
