<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.WMT;D;20070123;000000;47.7800000
US1.WMT;D;20070124;000000;48.3300000
US1.WMT;D;20070125;000000;48.2600000
US1.WMT;D;20070126;000000;47.9400000
US1.WMT;D;20070129;000000;47.7100000
US1.WMT;D;20070130;000000;47.5900000
US1.WMT;D;20070201;000000;48.0300000
US1.WMT;D;20070202;000000;47.9900000
US1.WMT;D;20070320;000000;46.8600000
US1.WMT;D;20070321;000000;47.1100000
US1.WMT;D;20070326;000000;47.2900000
US1.WMT;D;20070403;000000;48.0800000
US1.WMT;D;20070404;000000;48.0500000
US1.WMT;D;20070405;000000;48.2600000
US1.WMT;D;20070406;000000;48.2700000
US1.WMT;D;20070409;000000;48.4600000
US1.WMT;D;20070410;000000;47.9700000
US1.WMT;D;20070411;000000;47.2500000
US1.WMT;D;20070412;000000;47.2500000
US1.WMT;D;20070413;000000;46.8800000
US1.WMT;D;20070416;000000;47.6200000
US1.WMT;D;20070417;000000;48.1000000
US1.WMT;D;20070418;000000;47.9600000
US1.WMT;D;20070419;000000;48.0200000
US1.WMT;D;20070420;000000;49.7800000
US1.WMT;D;20070421;000000;49.7600000
US1.WMT;D;20070424;000000;48.6600000
US1.WMT;D;20070425;000000;48.8000000
US1.WMT;D;20070426;000000;48.7000000
US1.WMT;D;20070427;000000;48.3500000
US1.WMT;D;20070428;000000;48.3400000
US1.WMT;D;20070719;000000;48.7900000
US1.WMT;D;20070720;000000;48.7900000
US1.WMT;D;20070726;000000;46.8700000
US1.WMT;D;20070727;000000;46.8200000
US1.WMT;D;20070731;000000;45.9100000
US1.WMT;D;20070801;000000;46.2200000
US1.WMT;D;20070802;000000;46.7700000
US1.WMT;D;20070803;000000;45.5000000
US1.WMT;D;20070804;000000;45.5200000
US1.WMT;D;20070920;000000;44.2900000
US1.WMT;D;20070921;000000;44.1900000
US1.WMT;D;20070922;000000;44.2300000
US1.WMT;D;20070924;000000;43.9500000
US1.WMT;D;20070925;000000;43.1500000
US1.WMT;D;20070926;000000;43.2900000
US1.WMT;D;20070927;000000;43.6500000
US1.WMT;D;20070928;000000;43.6400000
US1.WMT;D;20070929;000000;43.6500000
US1.WMT;D;20071001;000000;44.5900000
US1.WMT;D;20071002;000000;44.8800000
US1.WMT;D;20071003;000000;45.1400000
US1.WMT;D;20071004;000000;44.9800000
US1.WMT;D;20071005;000000;45.3800000
US1.WMT;D;20071006;000000;45.3700000
US1.WMT;D;20071008;000000;45.2800000
US1.WMT;D;20071009;000000;45.2500000
US1.WMT;D;20071010;000000;45.6000000
US1.WMT;D;20071011;000000;46.8800000
US1.WMT;D;20071012;000000;47.0700000
US1.WMT;D;20071013;000000;47.0600000
US1.WMT;D;20071015;000000;46.5000000
US1.WMT;D;20071016;000000;45.8500000
US1.WMT;D;20071017;000000;45.9800000
US1.WMT;D;20071018;000000;45.8800000
US1.WMT;D;20071019;000000;45.0100000
US1.WMT;D;20071020;000000;44.9800000
US1.WMT;D;20071022;000000;45.2600000
US1.WMT;D;20071023;000000;44.0000000
US1.WMT;D;20071024;000000;43.9100000
US1.WMT;D;20071025;000000;43.8500000
US1.WMT;D;20071026;000000;44.6300000
US1.WMT;D;20071027;000000;44.6400000
US1.WMT;D;20071029;000000;45.0100000
US1.WMT;D;20071030;000000;45.3700000
US1.WMT;D;20071031;000000;45.2100000
US1.WMT;D;20071101;000000;44.0300000
US1.WMT;D;20071102;000000;44.1900000
US1.WMT;D;20071105;000000;44.0200000
US1.WMT;D;20071106;000000;44.3200000
US1.WMT;D;20071107;000000;43.9100000
US1.WMT;D;20071108;000000;43.6000000
US1.WMT;D;20071109;000000;42.8100000
US1.WMT;D;20071110;000000;42.9000000
US1.WMT;D;20071112;000000;43.7500000
US1.WMT;D;20071113;000000;46.0100000
US1.WMT;D;20071114;000000;46.4200000
US1.WMT;D;20071115;000000;46.1800000
US1.WMT;D;20071116;000000;46.3700000
US1.WMT;D;20071117;000000;46.3400000
US1.WMT;D;20071119;000000;45.4600000
US1.WMT;D;20071120;000000;45.5100000
US1.WMT;D;20071121;000000;44.8300000
US1.WMT;D;20071122;000000;44.8600000
US1.WMT;D;20071123;000000;45.7300000
US1.WMT;D;20071126;000000;45.0100000
US1.WMT;D;20071127;000000;45.8300000
US1.WMT;D;20071128;000000;47.2400000
US1.WMT;D;20071129;000000;47.4900000
US1.WMT;D;20071130;000000;47.9200000
US1.WMT;D;20071201;000000;47.9000000
US1.WMT;D;20071203;000000;47.8700000
US1.WMT;D;20071204;000000;48.2300000
US1.WMT;D;20071205;000000;48.9200000
US1.WMT;D;20071206;000000;49.2400000
