<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.XOM;D;20070123;000000;73.6100000
US1.XOM;D;20070124;000000;73.9200000
US1.XOM;D;20070125;000000;74.4500000
US1.XOM;D;20070126;000000;73.8800000
US1.XOM;D;20070129;000000;73.5000000
US1.XOM;D;20070130;000000;73.7600000
US1.XOM;D;20070201;000000;74.1400000
US1.XOM;D;20070202;000000;74.5300000
US1.XOM;D;20070320;000000;71.4900000
US1.XOM;D;20070321;000000;72.2400000
US1.XOM;D;20070326;000000;74.7500000
US1.XOM;D;20070403;000000;76.7700000
US1.XOM;D;20070404;000000;77.1000000
US1.XOM;D;20070405;000000;77.1800000
US1.XOM;D;20070406;000000;77.2200000
US1.XOM;D;20070409;000000;76.7800000
US1.XOM;D;20070410;000000;77.6200000
US1.XOM;D;20070411;000000;76.7700000
US1.XOM;D;20070412;000000;77.3900000
US1.XOM;D;20070413;000000;77.3800000
US1.XOM;D;20070416;000000;77.1600000
US1.XOM;D;20070417;000000;78.5200000
US1.XOM;D;20070418;000000;78.2000000
US1.XOM;D;20070419;000000;77.2400000
US1.XOM;D;20070420;000000;79.7700000
US1.XOM;D;20070421;000000;79.7600000
US1.XOM;D;20070424;000000;78.6300000
US1.XOM;D;20070425;000000;79.9100000
US1.XOM;D;20070426;000000;80.6300000
US1.XOM;D;20070427;000000;80.3500000
US1.XOM;D;20070428;000000;80.3600000
US1.XOM;D;20070719;000000;92.3300000
US1.XOM;D;20070720;000000;92.2900000
US1.XOM;D;20070726;000000;88.2900000
US1.XOM;D;20070727;000000;88.2300000
US1.XOM;D;20070731;000000;84.9600000
US1.XOM;D;20070801;000000;86.0100000
US1.XOM;D;20070802;000000;85.1400000
US1.XOM;D;20070803;000000;81.9200000
US1.XOM;D;20070804;000000;82.0800000
US1.XOM;D;20070920;000000;92.0200000
US1.XOM;D;20070921;000000;92.3900000
US1.XOM;D;20070922;000000;92.3100000
US1.XOM;D;20070924;000000;91.7000000
US1.XOM;D;20070925;000000;91.9500000
US1.XOM;D;20070926;000000;92.4300000
US1.XOM;D;20070927;000000;93.0000000
US1.XOM;D;20070928;000000;92.5600000
US1.XOM;D;20070929;000000;92.5600000
US1.XOM;D;20071001;000000;93.8900000
US1.XOM;D;20071002;000000;92.2100000
US1.XOM;D;20071003;000000;91.2800000
US1.XOM;D;20071004;000000;90.9900000
US1.XOM;D;20071005;000000;91.2820000
US1.XOM;D;20071006;000000;91.3600000
US1.XOM;D;20071008;000000;90.6400000
US1.XOM;D;20071009;000000;92.5700000
US1.XOM;D;20071010;000000;93.0900000
US1.XOM;D;20071011;000000;92.7200000
US1.XOM;D;20071012;000000;93.4600000
US1.XOM;D;20071013;000000;93.4800000
US1.XOM;D;20071015;000000;94.8500000
US1.XOM;D;20071016;000000;94.8400000
US1.XOM;D;20071017;000000;94.8700000
US1.XOM;D;20071018;000000;95.0700000
US1.XOM;D;20071019;000000;92.1000000
US1.XOM;D;20071020;000000;92.1400000
US1.XOM;D;20071022;000000;90.9100000
US1.XOM;D;20071023;000000;91.3900000
US1.XOM;D;20071024;000000;92.2000000
US1.XOM;D;20071025;000000;91.5300000
US1.XOM;D;20071026;000000;92.1600000
US1.XOM;D;20071027;000000;92.2100000
US1.XOM;D;20071029;000000;93.6100000
US1.XOM;D;20071030;000000;91.1400000
US1.XOM;D;20071031;000000;91.9900000
US1.XOM;D;20071101;000000;88.5000000
US1.XOM;D;20071102;000000;87.9300000
US1.XOM;D;20071105;000000;87.6600000
US1.XOM;D;20071106;000000;90.4100000
US1.XOM;D;20071107;000000;87.2000000
US1.XOM;D;20071108;000000;89.3300000
US1.XOM;D;20071109;000000;86.5600000
US1.XOM;D;20071110;000000;86.8500000
US1.XOM;D;20071112;000000;84.4900000
US1.XOM;D;20071113;000000;86.9400000
US1.XOM;D;20071114;000000;86.2200000
US1.XOM;D;20071115;000000;84.4400000
US1.XOM;D;20071116;000000;84.9500000
US1.XOM;D;20071117;000000;85.1000000
US1.XOM;D;20071119;000000;84.1500000
US1.XOM;D;20071120;000000;87.7800000
US1.XOM;D;20071121;000000;86.8400000
