<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US2.AAPL;D;19990104;000000;10.3125000
US2.AAPL;D;19990105;000000;10.8281300
US2.AAPL;D;19990106;000000;10.4375000
US2.AAPL;D;19990107;000000;11.2500000
US2.AAPL;D;19990108;000000;11.2500000
US2.AAPL;D;19990111;000000;11.4687500
US2.AAPL;D;19990112;000000;11.5312500
US2.AAPL;D;19990113;000000;11.6250000
US2.AAPL;D;19990114;000000;10.3437500
US2.AAPL;D;19990115;000000;10.3281300
US2.AAPL;D;19990119;000000;10.2187500
US2.AAPL;D;19990120;000000;10.1406300
US2.AAPL;D;19990121;000000;9.7031300
US2.AAPL;D;19990122;000000;9.6875000
US2.AAPL;D;19990125;000000;9.8437500
US2.AAPL;D;19990126;000000;10.1250000
US2.AAPL;D;19990127;000000;10.0312500
US2.AAPL;D;19990128;000000;10.2187500
US2.AAPL;D;19990129;000000;10.2968800
US2.AAPL;D;19990201;000000;10.2343800
US2.AAPL;D;19990202;000000;9.7968800
US2.AAPL;D;19990203;000000;10.0468800
US2.AAPL;D;19990204;000000;9.4687500
US2.AAPL;D;19990205;000000;9.0781300
US2.AAPL;D;19990208;000000;9.4375000
US2.AAPL;D;19990209;000000;9.2968800
US2.AAPL;D;19990210;000000;9.5781300
US2.AAPL;D;19990211;000000;9.9062500
US2.AAPL;D;19990212;000000;9.4218800
US2.AAPL;D;19990216;000000;9.5781300
US2.AAPL;D;19990217;000000;9.2500000
US2.AAPL;D;19990218;000000;9.0000000
US2.AAPL;D;19990219;000000;9.2968800
US2.AAPL;D;19990222;000000;9.6093800
US2.AAPL;D;19990223;000000;9.6093800
US2.AAPL;D;19990224;000000;9.3593800
US2.AAPL;D;19990225;000000;9.2343800
US2.AAPL;D;19990226;000000;8.7031300
US2.AAPL;D;19990301;000000;8.4375000
US2.AAPL;D;19990302;000000;8.6562500
US2.AAPL;D;19990303;000000;8.5468800
US2.AAPL;D;19990304;000000;8.3593800
US2.AAPL;D;19990305;000000;8.2968800
US2.AAPL;D;19990308;000000;8.5937500
US2.AAPL;D;19990309;000000;8.5312500
US2.AAPL;D;19990310;000000;8.1406300
US2.AAPL;D;19990311;000000;8.0468800
US2.AAPL;D;19990312;000000;8.2968800
US2.AAPL;D;19990315;000000;8.5156300
US2.AAPL;D;19990316;000000;8.8750000
US2.AAPL;D;19990317;000000;8.5156300
US2.AAPL;D;19990318;000000;8.8750000
US2.AAPL;D;19990319;000000;8.3750000
US2.AAPL;D;19990322;000000;8.7656300
US2.AAPL;D;19990323;000000;8.2500000
US2.AAPL;D;19990324;000000;8.4218800
US2.AAPL;D;19990325;000000;8.4531300
US2.AAPL;D;19990326;000000;8.3125000
US2.AAPL;D;19990329;000000;8.8437500
US2.AAPL;D;19990330;000000;8.9687500
US2.AAPL;D;19990331;000000;8.9843800
US2.AAPL;D;19990401;000000;9.0156300
