<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US2.GOOG;D;20040819;000000;100.3350000
US2.GOOG;D;20040820;000000;108.3100000
US2.GOOG;D;20040823;000000;109.4000000
US2.GOOG;D;20040824;000000;104.8700000
US2.GOOG;D;20040825;000000;106.0000000
US2.GOOG;D;20040826;000000;107.9100000
US2.GOOG;D;20040827;000000;106.1500000
US2.GOOG;D;20040830;000000;102.0100000
US2.GOOG;D;20040831;000000;102.3700000
US2.GOOG;D;20040901;000000;100.2500000
US2.GOOG;D;20040902;000000;101.5100000
US2.GOOG;D;20040903;000000;100.0100000
US2.GOOG;D;20040907;000000;101.5800000
US2.GOOG;D;20040908;000000;102.3000000
US2.GOOG;D;20040909;000000;102.3100000
US2.GOOG;D;20040910;000000;105.3300000
US2.GOOG;D;20040913;000000;107.5000000
US2.GOOG;D;20040914;000000;111.4900000
US2.GOOG;D;20040915;000000;112.0000000
US2.GOOG;D;20040916;000000;113.9700000
US2.GOOG;D;20040917;000000;117.4900000
US2.GOOG;D;20040920;000000;119.3600000
US2.GOOG;D;20040921;000000;117.8400000
US2.GOOG;D;20040922;000000;118.3800000
US2.GOOG;D;20040923;000000;120.8200000
US2.GOOG;D;20040924;000000;119.8300000
US2.GOOG;D;20040927;000000;118.2600000
US2.GOOG;D;20040928;000000;126.8600000
US2.GOOG;D;20040929;000000;131.0800000
US2.GOOG;D;20040930;000000;129.6000000
US2.GOOG;D;20041001;000000;132.5800000
US2.GOOG;D;20041004;000000;135.0600000
US2.GOOG;D;20041005;000000;138.3700000
US2.GOOG;D;20041006;000000;137.0800000
US2.GOOG;D;20041007;000000;138.8500000
US2.GOOG;D;20041008;000000;137.7300000
US2.GOOG;D;20041011;000000;135.2600000
US2.GOOG;D;20041012;000000;137.4000000
US2.GOOG;D;20041013;000000;140.9000000
US2.GOOG;D;20041014;000000;142.0000000
US2.GOOG;D;20041015;000000;144.1100000
US2.GOOG;D;20041018;000000;149.1600000
US2.GOOG;D;20041019;000000;147.9400000
US2.GOOG;D;20041020;000000;140.4900000
US2.GOOG;D;20041021;000000;149.3800000
US2.GOOG;D;20041022;000000;172.4300000
US2.GOOG;D;20041025;000000;187.4000000
US2.GOOG;D;20041026;000000;181.8000000
US2.GOOG;D;20041027;000000;185.9700000
US2.GOOG;D;20041028;000000;193.3000000
US2.GOOG;D;20041029;000000;190.6400000
US2.GOOG;D;20041101;000000;196.0300000
US2.GOOG;D;20041102;000000;194.8700000
US2.GOOG;D;20041103;000000;191.6700000
US2.GOOG;D;20041104;000000;184.7000000
US2.GOOG;D;20041105;000000;169.3500000
US2.GOOG;D;20041108;000000;172.5500000
US2.GOOG;D;20041109;000000;168.7000000
US2.GOOG;D;20041110;000000;167.8600000
US2.GOOG;D;20041111;000000;183.0200000
US2.GOOG;D;20041112;000000;182.0000000
US2.GOOG;D;20041115;000000;184.8700000
US2.GOOG;D;20041116;000000;172.5450000
US2.GOOG;D;20041117;000000;172.5000000
US2.GOOG;D;20041118;000000;167.5400000
US2.GOOG;D;20041119;000000;169.4000000
US2.GOOG;D;20041122;000000;165.1000000
US2.GOOG;D;20041123;000000;167.5200000
US2.GOOG;D;20041124;000000;174.7600000
US2.GOOG;D;20041126;000000;179.3900000
US2.GOOG;D;20041129;000000;181.0500000
US2.GOOG;D;20041130;000000;181.9800000
US2.GOOG;D;20041201;000000;179.9600000
US2.GOOG;D;20041202;000000;179.4000000
US2.GOOG;D;20041203;000000;180.4000000
US2.GOOG;D;20041206;000000;176.2900000
US2.GOOG;D;20041207;000000;171.4300000
US2.GOOG;D;20041208;000000;169.9800000
US2.GOOG;D;20041209;000000;173.4300000
US2.GOOG;D;20041210;000000;171.6500000
US2.GOOG;D;20041213;000000;170.4500000
US2.GOOG;D;20041214;000000;178.6900000
US2.GOOG;D;20041215;000000;179.7800000
US2.GOOG;D;20041216;000000;176.4700000
US2.GOOG;D;20041217;000000;180.0800000
US2.GOOG;D;20041220;000000;185.0200000
US2.GOOG;D;20041221;000000;183.7500000
US2.GOOG;D;20041222;000000;186.3000000
US2.GOOG;D;20041223;000000;187.9000000
US2.GOOG;D;20041227;000000;191.9100000
US2.GOOG;D;20041228;000000;192.7600000
US2.GOOG;D;20041229;000000;192.9000000
US2.GOOG;D;20041230;000000;197.6000000
US2.GOOG;D;20041231;000000;192.7900000
US2.GOOG;D;20050103;000000;202.7100000
US2.GOOG;D;20050104;000000;194.5000000
US2.GOOG;D;20050105;000000;193.5100000
US2.GOOG;D;20050106;000000;188.5500000
US2.GOOG;D;20050107;000000;193.8500000
US2.GOOG;D;20050110;000000;195.0600000
US2.GOOG;D;20050111;000000;193.5400000
US2.GOOG;D;20050112;000000;195.3800000
US2.GOOG;D;20050113;000000;195.3300000
US2.GOOG;D;20050114;000000;199.9700000
US2.GOOG;D;20050118;000000;203.9000000
US2.GOOG;D;20050119;000000;197.3000000
US2.GOOG;D;20050120;000000;193.9200000
US2.GOOG;D;20050121;000000;188.2800000
US2.GOOG;D;20050124;000000;180.7200000
US2.GOOG;D;20050125;000000;177.1200000
US2.GOOG;D;20050126;000000;189.2400000
US2.GOOG;D;20050127;000000;188.0800000
US2.GOOG;D;20050128;000000;190.3400000
US2.GOOG;D;20050131;000000;195.6200000
US2.GOOG;D;20050201;000000;191.9000000
US2.GOOG;D;20050202;000000;205.9600000
US2.GOOG;D;20050203;000000;210.8600000
US2.GOOG;D;20050204;000000;204.3600000
US2.GOOG;D;20050207;000000;196.0300000
US2.GOOG;D;20050208;000000;198.6400000
US2.GOOG;D;20050209;000000;191.5800000
US2.GOOG;D;20050210;000000;187.9800000
US2.GOOG;D;20050211;000000;187.4000000
US2.GOOG;D;20050214;000000;192.9900000
US2.GOOG;D;20050215;000000;195.2300000
US2.GOOG;D;20050216;000000;198.4100000
US2.GOOG;D;20050217;000000;197.9000000
US2.GOOG;D;20050218;000000;197.9500000
US2.GOOG;D;20050222;000000;191.3700000
US2.GOOG;D;20050223;000000;193.9500000
US2.GOOG;D;20050224;000000;188.8900000
US2.GOOG;D;20050225;000000;185.8700000
US2.GOOG;D;20050228;000000;187.9900000
US2.GOOG;D;20050301;000000;186.0600000
US2.GOOG;D;20050302;000000;185.1800000
US2.GOOG;D;20050303;000000;187.0100000
US2.GOOG;D;20050304;000000;185.9000000
US2.GOOG;D;20050307;000000;188.8100000
US2.GOOG;D;20050308;000000;185.2000000
US2.GOOG;D;20050309;000000;181.3500000
US2.GOOG;D;20050310;000000;179.9800000
US2.GOOG;D;20050311;000000;177.8000000
US2.GOOG;D;20050314;000000;174.9900000
US2.GOOG;D;20050315;000000;178.6100000
US2.GOOG;D;20050316;000000;175.6000000
US2.GOOG;D;20050317;000000;179.2900000
US2.GOOG;D;20050318;000000;180.0400000
US2.GOOG;D;20050321;000000;180.8800000
US2.GOOG;D;20050322;000000;178.6000000
US2.GOOG;D;20050323;000000;178.9800000
US2.GOOG;D;20050324;000000;179.2500000
US2.GOOG;D;20050328;000000;181.4200000
US2.GOOG;D;20050329;000000;179.5700000
